"Sorting.Number" "Order" "Taxon..Dyntaxa.2017." "Taxon.in.Gärdenfors.et.al...2003." "Linné..1761." "Wahlgren...Tullgren..1922." "Gärdenfors.et.al...2003." "Corrected.values.2003" "Dyntaxa.2017" "Corrected.values.2017" "Sweden.estimated.total" "New.species.to.science.since.2003" "Estimate.minus.known.2003" "Estimate.minus.known.2017" "Main.feeding.niche" "Main.feeding.habitat" "Expert.estimate"
"38" 7 "Odonata" "Cordulegastridae" "Cordulegastridae" 0 1 1 1 1 1 1 0 0 0 "Predator" "Water" "Erland Dannelid"
"39" 7 "Odonata" "Corduliidae" "Corduliidae" 1 6 7 7 7 7 7 0 0 0 "Predator" "Water" "Erland Dannelid"
"40" 7 "Odonata" "Gomphidae" "Gomphidae" 2 2 3 3 3 3 3 0 0 0 "Predator" "Water" "Erland Dannelid"
"41" 7 "Odonata" "Lestidae" "Lestidae" 0 3 5 5 6 6 6 0 1 0 "Predator" "Water" "Erland Dannelid"
"42" 7 "Odonata" "Libellulidae" "Libellulidae" 6 14 16 16 17 17 17 0 1 0 "Predator" "Water" "Erland Dannelid"
"43" 7 "Odonata" "Platycnemididae" "Platycnemidae" 0 1 1 1 1 1 1 0 0 0 "Predator" "Water" "Erland Dannelid"
"44" 8 "Plecoptera" "Capniidae" "Capniidae" 0 2 6 6 6 6 6 0 0 0 "Saprophagous" "Water" "Eva Engblom"
"45" 8 "Plecoptera" "Chloroperlidae" "Chloroperlidae" 0 2 3 3 3 3 3 0 0 0 "Saprophagous" "Water" "Eva Engblom"
"46" 8 "Plecoptera" "Leuctridae" "Leuctridae" 0 0 4 4 4 4 4 0 0 0 "Saprophagous" "Water" "Eva Engblom"
"47" 8 "Plecoptera" "Nemouridae" "Nemouridae" 1 5 12 12 12 12 13 0 1 1 "Saprophagous" "Water" "Eva Engblom"
"48" 8 "Plecoptera" "Perlidae" "Perlidae" 0 1 1 1 1 1 1 0 0 0 "Saprophagous" "Water" "Eva Engblom"
"49" 8 "Plecoptera" "Perlodidae" "Perlodidae" 1 4 8 8 8 8 9 0 1 1 "Predator" "Water" "Eva Engblom"
"50" 8 "Plecoptera" "Taeniopterygidae" "Taeniopterygidae" 1 1 3 3 3 3 3 0 0 0 "Saprophagous" "Water" "Eva Engblom"
"51" 9 "Blattodea" "Blaberidae" "Blaberidae" 0 0 10 10 5 10 22 0 12 12 "Saprophagous" "Temporary habitats" "Johannes Bergsten"
"52" 9 "Blattodea" "Blattellidae" "Blattellidae" 1 2 8 8 4 8 14 0 6 6 "Saprophagous" "Temporary habitats" "Johannes Bergsten"
"53" 9 "Blattodea" "Blattidae" "Blattidae" 1 2 6 6 4 6 7 0 1 1 "Saprophagous" "Temporary habitats" "Johannes Bergsten"
"54" 10 "Dermaptera" "Anisolabididae" "Anisolabididae" 0 0 1 1 1 1 1 0 0 0 "Saprophagous" "Soil" "Mattias Forshage"
"55" 10 "Dermaptera" "Forficulidae" "Forficulidae" 1 3 3 3 3 3 3 0 0 0 "Saprophagous" "Soil" "Mattias Forshage"
"56" 10 "Dermaptera" "Labiduridae" NA 0 0 0 0 0 0 1 0 1 1 "Predator" "Soil" "Mattias Forshage"
"57" 10 "Dermaptera" "Spongiphoridae" "Spongiphoridae (= Labiidae)" 1 1 1 1 1 1 1 0 0 0 "Saprophagous" "Soil" "Mattias Forshage"
"58" 12 "Orthoptera" "Acrididae" "Acrididae" 8 26 23 22 22 22 22 0 0 0 "Phytophagous" "Plants" "Oskar Kindvall"
"59" 12 "Orthoptera" "Gryllidae" "Gryllidae" 1 1 1 1 2 2 2 0 1 0 "Saprophagous" "Soil" "Oskar Kindvall"
"60" 12 "Orthoptera" "Gryllotalpidae" "Gryllotalpidae" 1 1 1 1 1 1 1 0 0 0 "Phytophagous" "Soil" "Oskar Kindvall"
"61" 12 "Orthoptera" "Myrmecophilidae" NA 0 0 0 0 1 1 1 0 1 0 "Saprophagous" "Soil" "Oskar Kindvall"
"62" 12 "Orthoptera" "Rhaphidophoridae" "Rhaphidophoridae" 0 1 1 1 1 1 1 0 0 0 "Predator" "Soil" "Oskar Kindvall"
"63" 12 "Orthoptera" "Tetrigidae" "Tetrigidae" 2 5 4 4 4 4 4 0 0 0 "Phytophagous" "Plants" "Oskar Kindvall"
"64" 12 "Orthoptera" "Tettigoniidae" "Tettigoniidae" 3 7 10 10 11 11 11 0 1 0 "Predator" "Plants" "Oskar Kindvall"
"65" 13 "Psocoptera" "Amphipsocidae" "Amphipsocidae" 0 0 1 1 1 1 1 0 0 0 "Saprophagous" "Plants" "Bo W Svensson"
"66" 13 "Psocoptera" "Caeciliusidae" "Caeciliidae" 0 13 9 9 9 9 9 0 0 0 "Saprophagous" "Plants" "Bo W Svensson"
"67" 13 "Psocoptera" "Ectopsocidae" NA 0 0 0 1 2 2 3 0 2 1 "Saprophagous" "Plants" "Bo W Svensson"
"68" 13 "Psocoptera" "Elipsocidae" "Elipsocidae + Reuterellidae" 0 0 9 9 9 9 9 0 0 0 "Saprophagous" "Plants" "Bo W Svensson"
"69" 13 "Psocoptera" "Epipsocidae" "Epipsocidae" 0 0 1 1 1 1 1 0 0 0 "Saprophagous" "Soil" "Bo W Svensson"
"70" 13 "Psocoptera" "Lachesillidae" "Lachesillidae" 2 0 2 2 2 2 3 0 1 1 "Saprophagous" "Plants" "Bo W Svensson"
"71" 13 "Psocoptera" "Lepidopsocidae" "Lepidopsocidae" 0 0 0 0 1 1 2 0 2 1 "Saprophagous" "Temporary habitats" "Bo W Svensson"
"72" 13 "Psocoptera" "Liposcelididae" "Liposcelidae" 0 2 5 6 6 6 9 0 3 3 "Saprophagous" "Temporary habitats" "Bo W Svensson"
"73" 13 "Psocoptera" "Mesopsocidae" "Mesopsocidae" 0 8 3 3 5 5 5 0 2 0 "Saprophagous" "Plants" "Bo W Svensson"
"74" 13 "Psocoptera" "Peripsocidae" "Peripsocidae" 0 0 5 5 5 5 6 0 1 1 "Saprophagous" "Plants" "Bo W Svensson"
"75" 13 "Psocoptera" "Philotarsidae" "Philotarsidae" 0 0 1 1 2 2 2 2 1 0 "Saprophagous" "Plants" "Bo W Svensson"
"76" 13 "Psocoptera" "Psocidae" "Psocidae" 2 11 14 14 16 16 18 0 4 2 "Saprophagous" "Plants" "Bo W Svensson"
"77" 13 "Psocoptera" "Psyllipsocidae" "Psyllipsocidae" 0 2 2 2 2 2 2 0 0 0 "Saprophagous" "Temporary habitats" "Bo W Svensson"
"78" 13 "Psocoptera" "Sphaeropsocidae" "Sphaeropsocidae" 0 0 1 1 1 1 1 0 0 0 "Saprophagous" "Temporary habitats" "Bo W Svensson"
"79" 13 "Psocoptera" "Stenopsocidae" "Stenopsocidae" 0 0 3 3 4 4 4 0 1 0 "Saprophagous" "Plants" "Bo W Svensson"
"80" 13 "Psocoptera" "Trichopsocidae" "Trichopsocidae" 0 0 1 1 2 2 2 0 1 0 "Saprophagous" "Plants" "Bo W Svensson"
"81" 13 "Psocoptera" "Trogiidae" "Trogiidae" 1 2 5 5 5 5 7 0 2 2 "Saprophagous" "Temporary habitats" "Bo W Svensson"
"82" 14 "Phthiraptera" "Bovicolidae" "Trichodectidae (pars)" 1 5 5 5 9 9 9 0 4 0 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"83" 14 "Phthiraptera" "Echinophthiriidae" "Echinophthiriidae" 0 1 1 1 1 1 1 0 0 0 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"84" 14 "Phthiraptera" "Enderleinellidae" "Enderleinellidae" 0 0 1 1 1 1 2 0 1 1 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"85" 14 "Phthiraptera" "Gliricolidae" "Gyropidae (pars)" 0 0 1 1 1 1 1 0 0 0 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
