TaxonId;Understam;Ordning;Familj;Art;Vetenskapligt namn;Auktor;Grupp i 2003-rekonstruktion;Status 2003;URL till taxoninformation;Svensk frekomst
251619;;;;Aneurhynchus depressus;Aneurhynchus depressus;Wall, 1971;;;https://www.dyntaxa.se/taxon/info/251619;Bofast och reproducerande
251630;;;;Aneurhynchus fragilis;Aneurhynchus fragilis;Nixon, 1980;;;https://www.dyntaxa.se/taxon/info/251630;Bofast och reproducerande
251631;;;;Aneurhynchus galesiformis;Aneurhynchus galesiformis;Westwood, 1832;;;https://www.dyntaxa.se/taxon/info/251631;Bofast och reproducerande
251632;;;;Aneurhynchus gracilicornis;Aneurhynchus gracilicornis;Wall, 1971;;;https://www.dyntaxa.se/taxon/info/251632;Bofast och reproducerande
251637;;;;Aneurhynchus lativentris;Aneurhynchus lativentris;Kieffer, 1911;;;https://www.dyntaxa.se/taxon/info/251637;Bofast och reproducerande
251650;;;;Aneurhynchus longicornis;Aneurhynchus longicornis;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251650;Bofast och reproducerande
251651;;;;Aneurhynchus nodicornis;Aneurhynchus nodicornis;Marshall, 1867;;;https://www.dyntaxa.se/taxon/info/251651;Bofast och reproducerande
251652;;;;Aneurhynchus oviventris;Aneurhynchus oviventris;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251652;Bofast och reproducerande
251653;;;;Aneurhynchus pentatomus;Aneurhynchus pentatomus;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251653;Bofast och reproducerande
251654;;;;Aneurhynchus ruficornis;Aneurhynchus ruficornis;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251654;Bofast och reproducerande
251655;;;;Aneuropria foersteri;Aneuropria foersteri;(Kieffer, 1910);;;https://www.dyntaxa.se/taxon/info/251655;Bofast och reproducerande
251656;;;;Basalys abrupta;Basalys abrupta;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251656;Bofast och reproducerande
251657;;;;Basalys bifoveata;Basalys bifoveata;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251657;Bofast och reproducerande
251658;;;;Basalys collaris;Basalys collaris;Kieffer, 1911;;;https://www.dyntaxa.se/taxon/info/251658;Bofast och reproducerande
251659;;;;Basalys cymocles;Basalys cymocles;Nixon, 1980;;;https://www.dyntaxa.se/taxon/info/251659;Bofast och reproducerande
251660;;;;Basalys erythropus;Basalys erythropus;Kieffer, 1911;;;https://www.dyntaxa.se/taxon/info/251660;Bofast och reproducerande
251661;;;;Basalys exigua;Basalys exigua;(Marshall, 1868);;;https://www.dyntaxa.se/taxon/info/251661;Bofast och reproducerande
251662;;;;Basalys formicarum;Basalys formicarum;Kieffer, 1911;;;https://www.dyntaxa.se/taxon/info/251662;Bofast och reproducerande
251663;;;;Basalys fumipennis;Basalys fumipennis;Westwood, 1833;;;https://www.dyntaxa.se/taxon/info/251663;Bofast och reproducerande
251664;;;;Basalys helicicola;Basalys helicicola;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251664;Bofast och reproducerande
251665;;;;Basalys iphicla;Basalys iphicla;Nixon, 1980;;;https://www.dyntaxa.se/taxon/info/251665;Bofast och reproducerande
251666;;;;Basalys longipennis;Basalys longipennis;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251666;Bofast och reproducerande
251667;;;;Basalys luctuosa;Basalys luctuosa;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251667;Bofast och reproducerande
251668;;;;Basalys orion;Basalys orion;Nixon, 1980;;;https://www.dyntaxa.se/taxon/info/251668;Bofast och reproducerande
251669;;;;Basalys parva;Basalys parva;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251669;Bofast och reproducerande
251670;;;;Basalys pedisequa;Basalys pedisequa;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251670;Bofast och reproducerande
251671;;;;Basalys pegomyiae;Basalys pegomyiae;(Brues, 1908);;;https://www.dyntaxa.se/taxon/info/251671;Bofast och reproducerande
251672;;;;Basalys rufocincta;Basalys rufocincta;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251672;Bofast och reproducerande
251673;;;;Basalys scotica;Basalys scotica;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251673;Bofast och reproducerande
251674;;;;Basalys semele;Basalys semele;Nixon, 1980;;;https://www.dyntaxa.se/taxon/info/251674;Bofast och reproducerande
251675;;;;Basalys suecica;Basalys suecica;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251675;Bofast och reproducerande
251676;;;;Basalys thomsoni;Basalys thomsoni;(Kieffer, 1911);;;https://www.dyntaxa.se/taxon/info/251676;Bofast och reproducerande
251679;;;;Basalys tripartita;Basalys tripartita;(Marshall, 1868);;;https://www.dyntaxa.se/taxon/info/251679;Bofast och reproducerande
