"group";"known2003";"expert2007";"expert2017";"propCatch";"numObs";"numSiteObs";"numTraps";"numSamples";"numSp2003";"numSpSmtp";"numNewSmtp";"mr";"Q1";"Q2";"chao2";"chao2.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"chao2p";"jack1p";"jack2p"
"Cheloninae";45;90;86;0.0843693391895581;169;167;34;34;45;38;16;77;12;8;46.7352941176471;6.61124690509577;49.6470588235294;4.79077833899937;53.6399286987522;43.5099143585451;3.41329869080427;49.854108956602;54.5980120580088;58.9890628626167
"Porricondylinae (s lat)";27;NA;300;0.10711597475537;360;283;34;74;27;122;105;190.333333333333;54;31;167.648956356736;16.3470719315514;174.411764705882;13.5229524222535;196.942959001783;146.325284376857;8.31712871975705;199.381466675625;208.581658946836;235.527053898934
"Psocoptera";65;62;84;0.0773514851485149;495;261;22;95;65;44;1;66.5;6;3;49.7272727272727;6.20716727822239;49.7272727272727;2.71588531750721;52.5844155844156;46.8011664576834;1.81327497283724;48.6379132231405;50.6519534184823;53.5622249651175
"Rogadinae";38;75;60;0.120433095941173;149;82;37;98;38;22;9;63.0714285714286;8;4;29.7837837837838;7.29549527299589;29.7837837837838;2.7519831484017;33.6726726726727;25.5744384016475;1.67602047488221;31.2495867768595;33.722135358499;38.1252574888939
