"group";"numObs";"numSiteObs";"numTraps";"numSamples";"numSp2003";"numSpSmtp";"Q1";"Q2";"chao2";"chao2.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"chao2p";"jack1p";"jack2p"
"Cheloninae";125;123;33;33;45;22;5;5;24.4242424242424;2.88117923006175;26.8484848484848;2.57700504551143;26.9952651515152;24.5207668927834;1.7638228923063;24.8891184573003;28.2352867518157;28.3896486820686
"Porricondylinae (s lat)";87;68;26;51;27;17;3;3;18.4423076923077;2.21571511957748;19.8846153846154;1.66543346881623;19.9953846153846;18.6151763420623;1.28690171780176;18.30276816609;20.503859462337;20.618078253926
"Psocoptera";493;259;22;95;65;43;6;2;51.5909090909091;9.73114833582781;48.7272727272727;2.71588531750721;52.4502164502164;45.6783204841097;1.70861889128949;48.9345592212006;49.6759919366734;53.4714213134981
"Rogadinae";76;41;25;56;38;13;6;4;17.32;4.62895236527662;18.76;2.35151015307185;20.7533333333333;15.7007840827058;1.41297189648167;19.4082840236686;22.7562130177515;25.1741617357002
