Event ID,Taxon,Number of vials,Deaccessioned
Event ID 1308,Acaenitinae,1,NULL
Event ID 1346,Acaenitinae,1,NULL
Event ID 1610,Acaenitinae,1,NULL
Event ID 1673,Acaenitinae,1,NULL
Event ID 1725,Acaenitinae,2,NULL
Event ID 1728,Acaenitinae,4,NULL
Event ID 3055,Acaenitinae,1,NULL
Event ID 378,Acaenitinae,1,NULL
Event ID 396,Acaenitinae,1,NULL
Event ID 831,Acaenitinae,1,NULL
Event ID 834,Acaenitinae,1,NULL
Event ID 909,Acaenitinae,1,NULL
Event ID 961,Acaenitinae,1,NULL
Event ID 101,Acari,2,NULL
Event ID 1010,Acari,1,NULL
Event ID 1011,Acari,1,NULL
Event ID 1012,Acari,1,NULL
Event ID 1013,Acari,1,NULL
Event ID 102,Acari,1,NULL
Event ID 1020,Acari,1,NULL
Event ID 1021,Acari,1,NULL
Event ID 1024,Acari,1,NULL
Event ID 1025,Acari,1,NULL
Event ID 1026,Acari,1,NULL
Event ID 1029,Acari,1,NULL
Event ID 1030,Acari,1,NULL
Event ID 1031,Acari,1,NULL
Event ID 1032,Acari,2,NULL
Event ID 1033,Acari,1,NULL
Event ID 1034,Acari,2,NULL
Event ID 1035,Acari,3,1
Event ID 1035,Acari,1,NULL
Event ID 1036,Acari,1,1
Event ID 1036,Acari,2,NULL
Event ID 1037,Acari,2,1
Event ID 1037,Acari,1,NULL
Event ID 1040,Acari,1,1
Event ID 1041,Acari,1,NULL
Event ID 1042,Acari,1,NULL
Event ID 1043,Acari,1,NULL
Event ID 1044,Acari,1,NULL
Event ID 1045,Acari,1,NULL
Event ID 1049,Acari,1,NULL
Event ID 105,Acari,1,NULL
Event ID 1051,Acari,1,NULL
Event ID 1054,Acari,1,NULL
Event ID 1055,Acari,1,NULL
Event ID 1056,Acari,2,NULL
Event ID 1057,Acari,1,NULL
Event ID 1058,Acari,1,NULL
Event ID 1059,Acari,3,NULL
Event ID 1060,Acari,3,NULL
Event ID 1062,Acari,1,NULL
Event ID 1064,Acari,2,NULL
Event ID 1065,Acari,1,NULL
Event ID 1066,Acari,1,NULL
Event ID 1067,Acari,1,NULL
Event ID 1068,Acari,1,1
Event ID 1069,Acari,2,1
Event ID 1070,Acari,2,NULL
Event ID 1071,Acari,1,1
Event ID 1072,Acari,1,NULL
Event ID 1073,Acari,1,NULL
Event ID 1074,Acari,1,NULL
Event ID 1075,Acari,1,NULL
Event ID 1078,Acari,1,NULL
Event ID 1079,Acari,3,NULL
Event ID 1080,Acari,1,NULL
Event ID 1081,Acari,1,NULL
Event ID 1082,Acari,1,NULL
Event ID 1084,Acari,1,NULL
Event ID 1087,Acari,1,NULL
Event ID 1088,Acari,1,NULL
Event ID 1091,Acari,1,NULL
Event ID 1093,Acari,1,NULL
Event ID 1095,Acari,1,1
Event ID 1095,Acari,1,NULL
Event ID 1096,Acari,4,NULL
Event ID 1097,Acari,1,NULL
Event ID 1098,Acari,2,NULL
Event ID 1100,Acari,10,NULL
Event ID 1101,Acari,1,NULL
Event ID 1102,Acari,1,NULL
Event ID 1103,Acari,2,NULL
Event ID 1104,Acari,1,NULL
Event ID 1105,Acari,1,NULL
Event ID 1106,Acari,4,NULL
Event ID 1107,Acari,1,1
Event ID 1107,Acari,1,NULL
Event ID 1108,Acari,1,NULL
Event ID 1109,Acari,1,NULL
Event ID 1112,Acari,1,1
Event ID 1113,Acari,2,NULL
Event ID 1115,Acari,5,NULL
Event ID 1116,Acari,1,NULL
Event ID 1117,Acari,1,NULL
Event ID 1119,Acari,1,NULL
Event ID 1120,Acari,2,NULL
Event ID 1121,Acari,2,NULL
Event ID 1123,Acari,1,1
Event ID 1129,Acari,1,NULL
Event ID 1130,Acari,1,NULL
Event ID 1131,Acari,1,NULL
Event ID 1133,Acari,1,NULL
Event ID 1134,Acari,1,NULL
Event ID 1136,Acari,2,NULL
Event ID 1137,Acari,1,NULL
Event ID 1139,Acari,3,NULL
Event ID 1140,Acari,2,NULL
Event ID 1141,Acari,1,NULL
Event ID 1142,Acari,1,1
Event ID 1143,Acari,1,NULL
Event ID 1144,Acari,1,NULL
Event ID 1145,Acari,2,NULL
Event ID 1146,Acari,2,NULL
Event ID 1149,Acari,1,NULL
Event ID 1154,Acari,1,NULL
Event ID 1155,Acari,1,NULL
Event ID 1156,Acari,1,NULL
Event ID 1157,Acari,7,NULL
Event ID 1158,Acari,1,NULL
Event ID 1159,Acari,1,NULL
Event ID 1160,Acari,2,NULL
Event ID 1161,Acari,1,NULL
Event ID 1162,Acari,1,NULL
Event ID 1163,Acari,1,NULL
Event ID 1165,Acari,1,NULL
Event ID 1166,Acari,2,NULL
Event ID 1167,Acari,1,1
Event ID 1168,Acari,1,NULL
Event ID 1169,Acari,1,NULL
Event ID 1170,Acari,2,NULL
Event ID 1171,Acari,2,NULL
Event ID 1172,Acari,1,NULL
Event ID 1173,Acari,1,NULL
Event ID 1174,Acari,5,NULL
Event ID 1175,Acari,1,NULL
Event ID 1176,Acari,1,NULL
Event ID 1177,Acari,1,NULL
Event ID 1178,Acari,1,NULL
Event ID 1180,Acari,1,NULL
Event ID 1181,Acari,1,NULL
Event ID 1182,Acari,1,NULL
Event ID 1183,Acari,1,NULL
Event ID 1186,Acari,1,NULL
Event ID 1187,Acari,2,NULL
Event ID 1188,Acari,1,NULL
Event ID 1191,Acari,1,NULL
Event ID 1192,Acari,1,NULL
Event ID 1193,Acari,3,NULL
Event ID 1195,Acari,2,NULL
Event ID 1199,Acari,2,NULL
Event ID 1200,Acari,1,NULL
Event ID 1201,Acari,3,NULL
Event ID 1202,Acari,1,NULL
Event ID 1203,Acari,1,NULL
Event ID 1204,Acari,1,NULL
Event ID 1213,Acari,1,NULL
Event ID 1214,Acari,1,NULL
Event ID 1216,Acari,1,NULL
Event ID 1225,Acari,2,NULL
Event ID 1226,Acari,3,NULL
Event ID 1230,Acari,1,NULL
Event ID 1231,Acari,1,NULL
Event ID 1233,Acari,1,NULL
Event ID 1234,Acari,1,NULL
Event ID 1235,Acari,1,NULL
Event ID 1236,Acari,1,NULL
Event ID 1242,Acari,1,NULL
Event ID 1244,Acari,1,NULL
Event ID 1245,Acari,1,NULL
Event ID 1246,Acari,1,NULL
Event ID 1247,Acari,1,NULL
Event ID 1249,Acari,1,NULL
Event ID 1250,Acari,1,NULL
Event ID 1252,Acari,1,1
Event ID 1252,Acari,1,NULL
Event ID 1253,Acari,1,1
Event ID 1255,Acari,1,NULL
Event ID 1256,Acari,1,NULL
Event ID 1258,Acari,1,NULL
Event ID 1259,Acari,1,1
Event ID 1260,Acari,1,NULL
Event ID 1261,Acari,3,NULL
Event ID 1264,Acari,3,NULL
Event ID 1265,Acari,2,NULL
Event ID 1266,Acari,1,NULL
Event ID 1273,Acari,1,NULL
Event ID 1274,Acari,1,NULL
Event ID 1275,Acari,1,NULL
Event ID 1286,Acari,3,NULL
Event ID 1287,Acari,2,NULL
Event ID 1290,Acari,3,NULL
Event ID 1292,Acari,2,NULL
Event ID 1295,Acari,2,NULL
Event ID 1300,Acari,3,NULL
Event ID 1301,Acari,2,NULL
Event ID 1302,Acari,1,NULL
Event ID 1305,Acari,2,NULL
Event ID 1306,Acari,2,NULL
Event ID 1311,Acari,2,NULL
Event ID 1312,Acari,1,NULL
Event ID 1313,Acari,1,NULL
Event ID 1314,Acari,1,NULL
Event ID 1315,Acari,1,NULL
Event ID 1316,Acari,1,NULL
Event ID 1317,Acari,1,NULL
Event ID 1318,Acari,1,NULL
Event ID 1322,Acari,1,NULL
Event ID 1323,Acari,1,NULL
Event ID 1325,Acari,1,NULL
Event ID 1326,Acari,1,NULL
Event ID 1327,Acari,2,NULL
Event ID 1328,Acari,2,NULL
Event ID 1329,Acari,5,NULL
Event ID 1330,Acari,5,NULL
Event ID 1331,Acari,2,NULL
Event ID 1333,Acari,3,NULL
Event ID 1334,Acari,1,NULL
Event ID 1335,Acari,1,NULL
Event ID 1337,Acari,1,NULL
Event ID 1338,Acari,1,NULL
Event ID 1339,Acari,1,NULL
Event ID 1340,Acari,1,NULL
Event ID 1341,Acari,9,NULL
Event ID 1342,Acari,1,1
Event ID 1343,Acari,1,NULL
Event ID 1344,Acari,2,NULL
Event ID 1345,Acari,1,NULL
Event ID 1346,Acari,3,1
Event ID 1348,Acari,1,NULL
Event ID 1349,Acari,2,NULL
Event ID 1350,Acari,2,NULL
Event ID 1351,Acari,2,NULL
Event ID 1352,Acari,1,NULL
Event ID 1354,Acari,1,NULL
Event ID 1355,Acari,1,NULL
Event ID 1361,Acari,2,NULL
Event ID 1362,Acari,1,NULL
Event ID 1363,Acari,6,NULL
Event ID 1364,Acari,1,NULL
Event ID 1365,Acari,6,NULL
Event ID 1366,Acari,1,NULL
Event ID 1367,Acari,1,NULL
Event ID 1368,Acari,1,NULL
Event ID 1369,Acari,4,NULL
Event ID 1370,Acari,1,NULL
Event ID 1371,Acari,1,NULL
Event ID 1372,Acari,7,NULL
Event ID 1373,Acari,1,NULL
Event ID 1374,Acari,7,NULL
Event ID 1375,Acari,4,NULL
Event ID 1376,Acari,3,NULL
Event ID 1378,Acari,11,NULL
Event ID 1379,Acari,1,NULL
Event ID 1380,Acari,4,NULL
Event ID 1383,Acari,1,NULL
Event ID 1384,Acari,1,NULL
Event ID 1385,Acari,1,NULL
Event ID 1386,Acari,1,NULL
Event ID 1387,Acari,1,NULL
Event ID 1388,Acari,2,NULL
Event ID 1389,Acari,2,NULL
Event ID 1390,Acari,2,NULL
Event ID 1391,Acari,2,NULL
Event ID 1392,Acari,1,NULL
Event ID 1393,Acari,1,NULL
Event ID 1394,Acari,1,NULL
Event ID 1395,Acari,1,NULL
Event ID 1396,Acari,1,NULL
Event ID 1397,Acari,1,NULL
Event ID 1398,Acari,1,NULL
Event ID 1401,Acari,1,NULL
Event ID 1402,Acari,2,NULL
Event ID 1403,Acari,2,NULL
Event ID 1404,Acari,1,NULL
Event ID 1407,Acari,1,NULL
Event ID 1408,Acari,3,NULL
Event ID 1409,Acari,1,NULL
Event ID 1411,Acari,1,NULL
Event ID 1412,Acari,1,NULL
Event ID 1420,Acari,2,NULL
Event ID 1423,Acari,1,NULL
Event ID 1427,Acari,3,NULL
Event ID 1428,Acari,1,NULL
Event ID 1429,Acari,1,NULL
Event ID 1431,Acari,2,NULL
Event ID 1433,Acari,1,NULL
Event ID 1434,Acari,1,NULL
Event ID 1446,Acari,1,NULL
Event ID 1448,Acari,1,NULL
Event ID 1449,Acari,1,NULL
Event ID 1451,Acari,1,NULL
Event ID 1452,Acari,1,NULL
Event ID 1453,Acari,1,NULL
Event ID 1454,Acari,1,NULL
Event ID 1455,Acari,1,NULL
Event ID 1456,Acari,1,NULL
Event ID 1458,Acari,1,NULL
Event ID 1459,Acari,1,NULL
Event ID 1460,Acari,1,NULL
Event ID 1461,Acari,4,NULL
Event ID 1463,Acari,1,NULL
Event ID 1464,Acari,1,NULL
Event ID 1465,Acari,1,NULL
Event ID 1466,Acari,1,NULL
Event ID 1467,Acari,2,NULL
Event ID 1468,Acari,8,NULL
Event ID 1469,Acari,2,NULL
Event ID 1470,Acari,1,NULL
Event ID 1473,Acari,1,NULL
Event ID 1476,Acari,1,NULL
Event ID 1477,Acari,1,NULL
Event ID 1478,Acari,1,NULL
Event ID 1479,Acari,1,NULL
Event ID 1480,Acari,1,NULL
Event ID 1481,Acari,1,NULL
Event ID 1482,Acari,1,NULL
Event ID 1483,Acari,1,NULL
Event ID 1484,Acari,1,NULL
Event ID 1485,Acari,1,NULL
Event ID 1486,Acari,1,NULL
Event ID 1487,Acari,1,NULL
Event ID 1488,Acari,2,NULL
Event ID 1489,Acari,1,NULL
Event ID 1490,Acari,1,NULL
Event ID 1491,Acari,1,NULL
Event ID 1492,Acari,1,NULL
Event ID 1494,Acari,3,NULL
Event ID 1495,Acari,1,1
Event ID 1495,Acari,1,NULL
Event ID 1496,Acari,4,NULL
Event ID 1498,Acari,1,NULL
Event ID 1499,Acari,2,NULL
Event ID 1500,Acari,1,NULL
Event ID 1502,Acari,1,NULL
Event ID 1504,Acari,1,NULL
Event ID 1505,Acari,1,NULL
Event ID 1506,Acari,2,NULL
Event ID 1507,Acari,1,NULL
Event ID 1508,Acari,1,NULL
Event ID 1509,Acari,1,NULL
Event ID 1511,Acari,1,NULL
Event ID 1512,Acari,1,NULL
Event ID 1513,Acari,2,1
Event ID 1513,Acari,1,NULL
Event ID 1514,Acari,1,NULL
Event ID 1515,Acari,1,NULL
Event ID 1516,Acari,1,NULL
Event ID 1517,Acari,3,NULL
Event ID 1518,Acari,4,NULL
Event ID 1519,Acari,2,NULL
Event ID 1520,Acari,1,NULL
Event ID 1521,Acari,1,NULL
Event ID 1522,Acari,2,NULL
Event ID 1525,Acari,1,NULL
Event ID 1526,Acari,2,NULL
Event ID 1527,Acari,1,1
Event ID 1528,Acari,1,NULL
Event ID 1529,Acari,1,NULL
Event ID 1530,Acari,1,NULL
Event ID 1531,Acari,2,NULL
Event ID 1532,Acari,1,NULL
Event ID 1533,Acari,1,NULL
Event ID 1534,Acari,1,NULL
Event ID 1535,Acari,2,NULL
Event ID 1536,Acari,2,NULL
Event ID 1539,Acari,1,NULL
Event ID 1540,Acari,1,NULL
Event ID 1541,Acari,1,NULL
Event ID 1542,Acari,1,1
Event ID 1543,Acari,1,1
Event ID 1543,Acari,1,NULL
Event ID 1546,Acari,1,1
Event ID 1547,Acari,1,NULL
Event ID 1548,Acari,1,1
Event ID 1550,Acari,1,1
Event ID 1551,Acari,1,NULL
Event ID 1552,Acari,2,NULL
Event ID 1553,Acari,1,NULL
Event ID 1554,Acari,1,NULL
Event ID 1555,Acari,1,NULL
Event ID 1557,Acari,2,1
Event ID 1558,Acari,2,1
Event ID 1558,Acari,1,NULL
Event ID 1559,Acari,3,1
Event ID 1560,Acari,6,NULL
Event ID 1561,Acari,8,NULL
Event ID 1562,Acari,4,NULL
Event ID 1563,Acari,1,NULL
Event ID 1565,Acari,1,NULL
Event ID 1569,Acari,1,NULL
Event ID 1570,Acari,1,NULL
Event ID 1572,Acari,2,NULL
Event ID 1578,Acari,1,NULL
Event ID 1584,Acari,1,NULL
Event ID 1587,Acari,1,NULL
Event ID 1589,Acari,1,NULL
Event ID 1590,Acari,1,NULL
Event ID 1591,Acari,2,1
Event ID 1592,Acari,1,NULL
Event ID 1593,Acari,9,NULL
Event ID 1594,Acari,1,NULL
Event ID 1595,Acari,2,1
Event ID 1596,Acari,1,1
Event ID 1596,Acari,1,NULL
Event ID 1597,Acari,1,NULL
Event ID 1598,Acari,1,NULL
Event ID 1599,Acari,1,1
Event ID 1600,Acari,1,NULL
Event ID 1601,Acari,2,NULL
Event ID 1602,Acari,3,NULL
Event ID 1603,Acari,1,NULL
Event ID 1604,Acari,1,1
Event ID 1604,Acari,1,NULL
Event ID 1605,Acari,1,NULL
Event ID 1610,Acari,1,NULL
Event ID 1617,Acari,1,NULL
Event ID 1620,Acari,2,NULL
Event ID 1621,Acari,2,NULL
Event ID 1625,Acari,2,NULL
Event ID 1626,Acari,1,NULL
Event ID 1632,Acari,1,NULL
Event ID 1633,Acari,1,NULL
Event ID 1634,Acari,2,NULL
Event ID 1636,Acari,4,1
Event ID 1637,Acari,1,NULL
Event ID 1638,Acari,1,NULL
Event ID 1639,Acari,1,NULL
Event ID 1640,Acari,1,NULL
Event ID 1641,Acari,1,NULL
Event ID 1642,Acari,1,NULL
Event ID 1643,Acari,1,1
Event ID 1643,Acari,1,NULL
Event ID 1644,Acari,2,NULL
Event ID 1645,Acari,7,NULL
Event ID 1646,Acari,1,NULL
Event ID 1647,Acari,2,NULL
Event ID 1649,Acari,1,NULL
Event ID 1650,Acari,2,NULL
Event ID 1651,Acari,1,NULL
Event ID 1652,Acari,3,NULL
Event ID 1653,Acari,1,NULL
Event ID 1654,Acari,9,NULL
Event ID 1655,Acari,1,NULL
Event ID 1656,Acari,4,NULL
Event ID 1657,Acari,1,NULL
Event ID 1658,Acari,1,NULL
Event ID 1659,Acari,1,NULL
Event ID 1661,Acari,1,NULL
Event ID 1662,Acari,1,NULL
Event ID 1663,Acari,1,NULL
Event ID 1664,Acari,1,NULL
Event ID 1665,Acari,1,NULL
Event ID 1666,Acari,2,NULL
Event ID 1667,Acari,1,NULL
Event ID 1668,Acari,3,NULL
Event ID 1670,Acari,2,NULL
Event ID 1672,Acari,1,NULL
Event ID 1673,Acari,1,NULL
Event ID 1674,Acari,1,NULL
Event ID 1675,Acari,1,NULL
Event ID 1676,Acari,2,NULL
Event ID 1681,Acari,1,NULL
Event ID 1683,Acari,1,NULL
Event ID 1684,Acari,1,NULL
Event ID 1685,Acari,1,NULL
Event ID 1686,Acari,1,NULL
Event ID 1687,Acari,1,NULL
Event ID 1688,Acari,1,NULL
Event ID 1690,Acari,1,NULL
Event ID 1692,Acari,1,NULL
Event ID 1693,Acari,1,NULL
Event ID 1695,Acari,1,NULL
Event ID 1699,Acari,1,NULL
Event ID 1703,Acari,1,NULL
Event ID 1704,Acari,1,NULL
Event ID 1715,Acari,1,NULL
Event ID 1717,Acari,1,NULL
Event ID 1718,Acari,4,NULL
Event ID 1721,Acari,2,NULL
Event ID 1722,Acari,1,NULL
Event ID 1723,Acari,2,NULL
Event ID 1724,Acari,1,NULL
Event ID 1725,Acari,4,NULL
Event ID 1728,Acari,3,NULL
Event ID 1729,Acari,1,NULL
Event ID 1730,Acari,1,NULL
Event ID 1731,Acari,3,NULL
Event ID 1732,Acari,3,NULL
Event ID 1733,Acari,3,NULL
Event ID 1734,Acari,1,NULL
Event ID 1735,Acari,1,NULL
Event ID 1736,Acari,1,NULL
Event ID 1737,Acari,1,NULL
Event ID 1738,Acari,1,NULL
Event ID 1739,Acari,1,NULL
Event ID 1740,Acari,2,NULL
Event ID 1741,Acari,3,NULL
Event ID 1742,Acari,1,NULL
Event ID 1745,Acari,1,NULL
Event ID 1746,Acari,2,NULL
Event ID 1747,Acari,1,NULL
Event ID 1748,Acari,1,NULL
Event ID 1749,Acari,2,NULL
Event ID 175,Acari,7,NULL
Event ID 1750,Acari,4,1
Event ID 1752,Acari,1,NULL
Event ID 1753,Acari,2,NULL
Event ID 1754,Acari,1,1
Event ID 1755,Acari,1,NULL
Event ID 1756,Acari,1,1
Event ID 1757,Acari,1,NULL
Event ID 1759,Acari,2,NULL
Event ID 176,Acari,6,NULL
Event ID 1760,Acari,1,NULL
Event ID 1765,Acari,1,NULL
Event ID 1766,Acari,1,NULL
Event ID 1767,Acari,1,NULL
Event ID 1769,Acari,1,NULL
Event ID 177,Acari,2,NULL
Event ID 1770,Acari,1,NULL
Event ID 1774,Acari,3,NULL
Event ID 1775,Acari,3,NULL
Event ID 1776,Acari,1,NULL
Event ID 1777,Acari,1,NULL
Event ID 1778,Acari,1,NULL
Event ID 1779,Acari,1,NULL
Event ID 178,Acari,4,NULL
Event ID 1780,Acari,1,NULL
Event ID 1781,Acari,1,NULL
Event ID 1782,Acari,1,NULL
Event ID 1786,Acari,4,NULL
Event ID 1787,Acari,1,NULL
Event ID 1788,Acari,1,NULL
Event ID 1789,Acari,1,NULL
Event ID 179,Acari,6,NULL
Event ID 1790,Acari,1,NULL
Event ID 1791,Acari,1,NULL
Event ID 1792,Acari,1,NULL
Event ID 1793,Acari,1,NULL
Event ID 1795,Acari,2,NULL
Event ID 1796,Acari,3,NULL
Event ID 1797,Acari,1,NULL
Event ID 1798,Acari,4,1
Event ID 1799,Acari,1,NULL
Event ID 180,Acari,1,1
Event ID 1800,Acari,2,NULL
Event ID 1801,Acari,1,1
Event ID 1802,Acari,1,NULL
Event ID 1804,Acari,2,NULL
Event ID 1805,Acari,17,NULL
Event ID 1806,Acari,1,NULL
Event ID 1807,Acari,2,NULL
Event ID 1808,Acari,1,NULL
Event ID 1809,Acari,1,NULL
Event ID 1810,Acari,11,NULL
Event ID 1811,Acari,2,NULL
Event ID 1812,Acari,1,NULL
Event ID 1813,Acari,1,NULL
Event ID 1814,Acari,1,NULL
Event ID 1815,Acari,1,NULL
Event ID 1816,Acari,1,NULL
Event ID 1817,Acari,1,NULL
Event ID 1818,Acari,1,NULL
Event ID 1820,Acari,6,NULL
Event ID 1823,Acari,1,NULL
Event ID 1826,Acari,1,NULL
Event ID 1828,Acari,1,NULL
Event ID 1829,Acari,2,NULL
Event ID 1840,Acari,1,NULL
Event ID 1847,Acari,1,NULL
Event ID 1848,Acari,1,NULL
Event ID 1849,Acari,1,NULL
Event ID 1850,Acari,1,NULL
Event ID 1851,Acari,1,NULL
Event ID 1852,Acari,1,NULL
Event ID 1853,Acari,1,NULL
Event ID 1854,Acari,1,NULL
Event ID 1856,Acari,1,NULL
Event ID 1857,Acari,1,NULL
Event ID 1858,Acari,1,NULL
Event ID 1860,Acari,1,NULL
Event ID 1866,Acari,1,NULL
Event ID 1867,Acari,2,NULL
Event ID 1868,Acari,1,NULL
Event ID 1869,Acari,1,NULL
Event ID 1871,Acari,1,NULL
Event ID 1872,Acari,1,NULL
Event ID 1873,Acari,1,NULL
Event ID 1874,Acari,1,NULL
Event ID 1875,Acari,1,NULL
Event ID 1876,Acari,1,NULL
Event ID 1877,Acari,1,NULL
Event ID 1878,Acari,1,NULL
Event ID 1879,Acari,1,NULL
Event ID 1880,Acari,1,NULL
Event ID 1883,Acari,2,NULL
Event ID 1886,Acari,1,NULL
Event ID 1887,Acari,1,NULL
Event ID 1888,Acari,3,NULL
Event ID 1891,Acari,1,NULL
Event ID 1893,Acari,2,NULL
Event ID 1895,Acari,1,NULL
Event ID 1896,Acari,1,NULL
Event ID 1897,Acari,1,NULL
Event ID 1898,Acari,4,NULL
Event ID 1899,Acari,1,NULL
Event ID 1900,Acari,1,NULL
Event ID 1901,Acari,1,NULL
Event ID 1902,Acari,2,NULL
Event ID 1903,Acari,1,NULL
Event ID 1905,Acari,2,NULL
Event ID 1906,Acari,2,NULL
Event ID 1907,Acari,3,NULL
Event ID 1908,Acari,1,NULL
Event ID 1909,Acari,1,NULL
Event ID 1910,Acari,1,NULL
Event ID 1911,Acari,1,NULL
Event ID 1912,Acari,1,NULL
Event ID 1913,Acari,1,NULL
Event ID 1914,Acari,1,NULL
Event ID 1915,Acari,2,NULL
Event ID 1916,Acari,2,NULL
Event ID 1917,Acari,1,NULL
Event ID 1919,Acari,1,NULL
Event ID 1921,Acari,1,NULL
Event ID 1924,Acari,2,NULL
Event ID 1927,Acari,1,NULL
Event ID 1929,Acari,2,NULL
Event ID 1945,Acari,1,NULL
Event ID 1947,Acari,1,NULL
Event ID 1951,Acari,1,NULL
Event ID 1952,Acari,1,NULL
Event ID 1953,Acari,1,NULL
Event ID 1955,Acari,2,1
Event ID 1955,Acari,1,NULL
Event ID 1957,Acari,2,1
Event ID 1958,Acari,1,NULL
Event ID 1959,Acari,1,NULL
Event ID 1960,Acari,1,NULL
Event ID 1966,Acari,1,NULL
Event ID 1971,Acari,1,NULL
Event ID 1975,Acari,1,NULL
Event ID 1977,Acari,3,NULL
Event ID 1978,Acari,1,1
Event ID 1980,Acari,2,NULL
Event ID 1981,Acari,4,NULL
Event ID 1982,Acari,2,NULL
Event ID 1983,Acari,1,NULL
Event ID 1984,Acari,1,NULL
Event ID 1985,Acari,1,NULL
Event ID 1986,Acari,3,NULL
Event ID 1987,Acari,2,NULL
Event ID 1988,Acari,1,NULL
Event ID 1990,Acari,1,NULL
Event ID 1995,Acari,3,NULL
Event ID 1999,Acari,1,NULL
Event ID 2010,Acari,2,NULL
Event ID 2011,Acari,14,NULL
Event ID 2012,Acari,1,NULL
Event ID 2013,Acari,1,NULL
Event ID 2014,Acari,2,NULL
Event ID 2015,Acari,4,NULL
Event ID 2016,Acari,1,NULL
Event ID 2017,Acari,2,1
Event ID 2018,Acari,1,NULL
Event ID 2019,Acari,1,NULL
Event ID 2020,Acari,2,NULL
Event ID 2021,Acari,1,NULL
Event ID 2022,Acari,1,NULL
Event ID 2025,Acari,1,NULL
Event ID 2026,Acari,1,NULL
Event ID 2027,Acari,1,NULL
Event ID 2028,Acari,1,NULL
Event ID 2029,Acari,3,NULL
Event ID 2030,Acari,1,NULL
Event ID 2031,Acari,3,NULL
Event ID 2032,Acari,1,NULL
Event ID 2033,Acari,9,NULL
Event ID 2034,Acari,21,NULL
Event ID 2036,Acari,9,NULL
Event ID 2037,Acari,17,NULL
Event ID 2038,Acari,2,NULL
Event ID 2039,Acari,1,NULL
Event ID 2040,Acari,1,NULL
Event ID 2041,Acari,1,NULL
Event ID 2042,Acari,1,NULL
Event ID 2043,Acari,1,NULL
Event ID 2044,Acari,1,NULL
Event ID 2045,Acari,1,NULL
Event ID 2047,Acari,1,NULL
Event ID 2048,Acari,1,NULL
Event ID 2050,Acari,1,NULL
Event ID 2051,Acari,6,NULL
Event ID 2052,Acari,1,NULL
Event ID 2053,Acari,7,NULL
Event ID 2054,Acari,12,NULL
Event ID 2055,Acari,3,NULL
Event ID 2056,Acari,4,NULL
Event ID 2057,Acari,1,NULL
Event ID 2058,Acari,5,NULL
Event ID 2059,Acari,6,NULL
Event ID 2060,Acari,3,NULL
Event ID 2061,Acari,1,NULL
Event ID 2062,Acari,1,NULL
Event ID 2064,Acari,2,NULL
Event ID 2090,Acari,1,NULL
Event ID 2091,Acari,1,NULL
Event ID 2092,Acari,1,NULL
Event ID 2093,Acari,3,NULL
Event ID 2094,Acari,1,NULL
Event ID 2096,Acari,1,NULL
Event ID 2097,Acari,3,NULL
Event ID 2098,Acari,1,NULL
Event ID 2099,Acari,1,NULL
Event ID 2101,Acari,2,NULL
Event ID 2102,Acari,1,NULL
Event ID 2103,Acari,1,NULL
Event ID 2112,Acari,2,NULL
Event ID 228,Acari,1,NULL
Event ID 230,Acari,1,NULL
Event ID 231,Acari,1,NULL
Event ID 235,Acari,3,NULL
Event ID 236,Acari,1,NULL
Event ID 243,Acari,1,NULL
Event ID 253,Acari,1,NULL
Event ID 254,Acari,1,NULL
Event ID 255,Acari,1,NULL
Event ID 256,Acari,1,1
Event ID 256,Acari,1,NULL
Event ID 257,Acari,1,NULL
Event ID 258,Acari,1,NULL
Event ID 265,Acari,1,NULL
Event ID 271,Acari,1,NULL
Event ID 272,Acari,1,NULL
Event ID 273,Acari,1,NULL
Event ID 274,Acari,1,NULL
Event ID 275,Acari,1,NULL
Event ID 284,Acari,3,NULL
Event ID 288,Acari,2,NULL
Event ID 292,Acari,1,NULL
Event ID 293,Acari,1,NULL
Event ID 294,Acari,1,NULL
Event ID 295,Acari,1,NULL
Event ID 297,Acari,1,NULL
Event ID 300,Acari,1,NULL
Event ID 3050,Acari,1,NULL
Event ID 3051,Acari,1,NULL
Event ID 3052,Acari,1,NULL
Event ID 3053,Acari,2,NULL
Event ID 3054,Acari,1,NULL
Event ID 3055,Acari,2,NULL
Event ID 3056,Acari,1,NULL
Event ID 3057,Acari,1,NULL
Event ID 3058,Acari,1,NULL
Event ID 3059,Acari,2,NULL
Event ID 308,Acari,2,NULL
Event ID 311,Acari,1,NULL
Event ID 316,Acari,1,NULL
Event ID 329,Acari,1,NULL
Event ID 330,Acari,2,NULL
Event ID 332,Acari,1,NULL
Event ID 333,Acari,1,NULL
Event ID 334,Acari,1,NULL
Event ID 335,Acari,1,NULL
Event ID 336,Acari,2,NULL
Event ID 337,Acari,1,NULL
Event ID 338,Acari,3,NULL
Event ID 339,Acari,1,NULL
Event ID 340,Acari,2,NULL
Event ID 341,Acari,1,NULL
Event ID 342,Acari,6,NULL
Event ID 343,Acari,5,NULL
Event ID 344,Acari,1,NULL
Event ID 345,Acari,4,NULL
Event ID 346,Acari,2,NULL
Event ID 350,Acari,1,NULL
Event ID 351,Acari,1,1
Event ID 352,Acari,1,NULL
Event ID 353,Acari,1,NULL
Event ID 354,Acari,1,NULL
