Taxon;Vials;Specimens;CollID
Dolichopodidae;1;4;932
Drosophilidae;1;37;932
Dryomyzidae;1;1;932
Empidoidea;1;14;932
Ephydridae;1;2;932
Fanniidae;1;3;932
Gasterophilidae;0;0;932
Helcomyzidae;0;0;932
Heleomyzidae;1;24;932
Heterocheilidae;0;0;932
Hippoboscidae;0;0;932
Hypodermatidae;0;0;932
Lauxaniidae;1;34;932
Lonchaeidae;0;0;932
Lonchopteridae;0;0;932
Megamerinidae;0;0;932
Micropezidae;0;0;932
Milichiidae;0;0;932
Muscidae;1;22;932
Nycteribiidae;0;0;932
Odiniidae;0;0;932
Oestridae;0;0;932
Opetiidae;0;0;932
Opomyzidae;1;1;932
Pallopteridae;0;0;932
Periscelididae;0;0;932
Phaeomyiidae;0;0;932
Phoridae;0;0;932
Piophilidae;0;0;932
Pipunculidae;0;0;932
Platypezidae;0;0;932
Platystomatidae;0;0;932
Pseudopomyzidae;0;0;932
Psilidae;1;49;932
Rhagionidae;0;0;932
Rhinophoridae;0;0;932
Sarcophagidae;1;2;932
Scathophagidae;0;0;932
Scenopinidae;0;0;932
Sciomyzidae;1;24;932
Sepsidae;0;0;932
Sphaeroceridae;1;9;932
Stenomicridae;0;0;932
Stratiomyidae;0;0;932
Strongylophthalmyiidae;0;0;932
Syrphidae;0;0;932
Tabanidae;0;0;932
Tachinidae;1;18;932
Tanypezidae;0;0;932
Tephritidae;0;0;932
Tethinidae;0;0;932
Therevidae;0;0;932
Trixoscelididae;0;0;932
Ulidiidae;0;0;932
Xylomyidae;0;0;932
Xylophagidae;0;0;932
Acarthophthalmidae ;1;1;2112
Acroceridae;0;0;2112
Agromyzidae;1;3;2112
Anthomyiidae;1;36;2112
Anthomyzidae;0;0;2112
Asilidae;0;0;2112
Asteiidae;0;0;2112
Athericidae;0;0;2112
Aulacigasteridae;0;0;2112
Bombyliidae;0;0;2112
Brachystomatidae;0;0;2112
Braulidae;0;0;2112
Calliphoridae;0;0;2112
Camillidae;0;0;2112
Campichoetidae;0;0;2112
Carnidae;0;0;2112
Chamaemyiidae;0;0;2112
Chiropteromyzidae;0;0;2112
Chloropidae;0;0;2112
Chyromyidae;0;0;2112
Clusiidae;0;0;2112
Coelopidae;0;0;2112
Coenomyiidae;0;0;2112
Conopidae;0;0;2112
Diastatidae;0;0;2112
Dolichopodidae;0;0;2112
Drosophilidae;1;48;2112
Dryomyzidae;1;11;2112
Empidoidea;1;8;2112
Ephydridae;1;4;2112
Fanniidae;1;4;2112
Gasterophilidae;0;0;2112
Helcomyzidae;0;0;2112
Heleomyzidae;1;22;2112
Heterocheilidae;0;0;2112
Hippoboscidae;0;0;2112
Hypodermatidae;0;0;2112
Lauxaniidae;1;1;2112
Lonchaeidae;0;0;2112
Lonchopteridae;1;2;2112
Megamerinidae;0;0;2112
Micropezidae;0;0;2112
Milichiidae;0;0;2112
Muscidae;1;8;2112
Nycteribiidae;0;0;2112
Odiniidae;0;0;2112
Oestridae;0;0;2112
Opetiidae;0;0;2112
Opomyzidae;1;2;2112
Pallopteridae;0;0;2112
Periscelididae;0;0;2112
Phaeomyiidae;0;0;2112
Phoridae;0;0;2112
Piophilidae;0;0;2112
Pipunculidae;0;0;2112
Platypezidae;0;0;2112
Platystomatidae;0;0;2112
Pseudopomyzidae;0;0;2112
Psilidae;0;0;2112
Rhagionidae;0;0;2112
Rhinophoridae;0;0;2112
Sarcophagidae;0;0;2112
Scathophagidae;0;0;2112
Scenopinidae;0;0;2112
Sciomyzidae;0;0;2112
Sepsidae;1;7;2112
Sphaeroceridae;1;15;2112
Stenomicridae;0;0;2112
Stratiomyidae;0;0;2112
Strongylophthalmyiidae;0;0;2112
Syrphidae;0;0;2112
Tabanidae;0;0;2112
Tachinidae;0;0;2112
Tanypezidae;0;0;2112
Tephritidae;0;0;2112
Tethinidae;0;0;2112
Therevidae;0;0;2112
Trixoscelididae;0;0;2112
Ulidiidae;0;0;2112
Xylomyidae;0;0;2112
Xylophagidae;0;0;2112
Acarthophthalmidae ;1;1;1081
Acroceridae;0;0;1081
Agromyzidae;1;2;1081
Anthomyiidae;1;5;1081
Anthomyzidae;0;0;1081
Asilidae;1;1;1081
Asteiidae;0;0;1081
Athericidae;0;0;1081
Aulacigasteridae;0;0;1081
Bombyliidae;0;0;1081
Brachystomatidae;0;0;1081
Braulidae;0;0;1081
Calliphoridae;1;1;1081
Camillidae;0;0;1081
Campichoetidae;0;0;1081
Carnidae;0;0;1081
Chamaemyiidae;0;0;1081
Chiropteromyzidae;0;0;1081
Chloropidae;1;1;1081
Chyromyidae;0;0;1081
Clusiidae;0;0;1081
Coelopidae;0;0;1081
Coenomyiidae;0;0;1081
Conopidae;0;0;1081
Diastatidae;1;1;1081
Dolichopodidae;1;50;1081
Drosophilidae;1;29;1081
Dryomyzidae;0;0;1081
Empidoidea;1;28;1081
Ephydridae;0;0;1081
Fanniidae;1;3;1081
Gasterophilidae;0;0;1081
Helcomyzidae;0;0;1081
Heleomyzidae;1;1;1081
Heterocheilidae;0;0;1081
Hippoboscidae;0;0;1081
Hypodermatidae;0;0;1081
Lauxaniidae;1;11;1081
Lonchaeidae;0;0;1081
Lonchopteridae;0;0;1081
Megamerinidae;0;0;1081
Micropezidae;0;0;1081
Milichiidae;0;0;1081
Muscidae;1;8;1081
Nycteribiidae;0;0;1081
Odiniidae;0;0;1081
Oestridae;0;0;1081
Opetiidae;0;0;1081
Opomyzidae;0;0;1081
Pallopteridae;0;0;1081
Periscelididae;0;0;1081
Phaeomyiidae;0;0;1081
Phoridae;0;0;1081
Piophilidae;0;0;1081
Pipunculidae;1;4;1081
Platypezidae;0;0;1081
Platystomatidae;0;0;1081
Pseudopomyzidae;0;0;1081
Psilidae;1;1;1081
Rhagionidae;1;37;1081
Rhinophoridae;1;4;1081
Sarcophagidae;1;7;1081
Scathophagidae;0;0;1081
