"Genus"	"Species"	"Author"	"TrapID"	"EventID"
"1"	"Aphalara"	"affinis"	"(Zetterstedt, 1828)"	45	679
"2"	"Aphalara"	"exilis"	"(Weber & Mohr, 1804)"	1001	1511
"3"	"Aphalara"	"rumicicola"	"Klimaszewski, 1966"	1002	1378
"4"	"Aphalara"	"rumicicola"	"Klimaszewski, 1966"	1004	1899
"5"	"Baeopelma"	"foersteri"	"(Flor, 1861)"	18	341
"6"	"Neocraspedolepta"	"subpunctata"	"(Förster, 1848)"	1003	1386
"7"	"Cacopsylla"	"pulchra"	"(Zetterstedt, 1838)"	35	1787
"8"	"Cacopsylla"	"pulchra"	"(Zetterstedt, 1838)"	1001	1511
"9"	"Cacopsylla"	"corcontum"	"(Šulc, 1910)"	42	646
"10"	"Cacopsylla"	"corcontum"	"(Šulc, 1910)"	42	1166
"11"	"Cacopsylla"	"crataegi"	"(Schrank, 1801)"	40	1811
"12"	"Cacopsylla"	"crataegi"	"(Schrank, 1801)"	40	1809
"13"	"Cacopsylla"	"crataegi"	"(Schrank, 1801)"	1008	1029
"14"	"Cacopsylla"	"sorbi"	"(Linnaeus, 1767)"	42	1166
"15"	"Cacopsylla"	"sorbi"	"(Linnaeus, 1767)"	42	646
"16"	"Chamaepsylla"	"hartigii"	"(Flor, 1861)"	42	646
"17"	"Strophingia"	"ericae"	"(Curtis, 1835)"	1003	1386
"18"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1001	1728
"19"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1001	1511
"20"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	40	1809
"21"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1008	1029
"22"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	1004	1898
"23"	"Cacopsylla"	"melanoneura"	"(Förster, 1848)"	23	1479
"24"	"Cacopsylla"	"peregrina"	"(Förster, 1848)"	35	1790
"25"	"Cacopsylla"	"rhamnicola"	"(Scott, 1876)"	40	1809
"26"	"Cacopsylla"	"pulchra"	"(Zetterstedt, 1838)"	40	1809
"27"	"Cacopsylla"	"pruni"	"(Scopoli, 1763)"	1001	1511
"28"	"Cacopsylla"	"pruni"	"(Scopoli, 1763)"	40	1811
"29"	"Chamaepsylla"	"hartigii"	"(Flor, 1861)"	35	1790
"30"	"Psylla"	"alni"	"(Linnaeus, 1758)"	1000	1428
"31"	"Psylla"	"alni"	"(Linnaeus, 1758)"	1002	1891
"32"	"Psylla"	"alni"	"(Linnaeus, 1758)"	1003	1386
"33"	"Psylla"	"alni"	"(Linnaeus, 1758)"	1000	1322
"34"	"Psyllopsis"	"fraxini"	"(Linnaeus, 1758)"	1002	1891
"35"	"Bactericera"	"acutipennis"	"(Zetterstedt, 1828)"	1000	1362
"36"	"Bactericera"	"acutipennis"	"(Zetterstedt, 1828)"	1000	1433
"37"	"Bactericera"	"curvatinerivs"	"(Förster, 1848)"	1001	1728
"38"	"Bactericera"	"curvatinerivs"	"(Förster, 1848)"	1000	1428
"39"	"Bactericera"	"acutipennis"	"(Zetterstedt, 1828)"	1000	1428
"40"	"Bactericera"	"acutipennis"	"(Zetterstedt, 1828)"	1001	1355
"41"	"Bactericera"	"acutipennis"	"(Zetterstedt, 1828)"	1008	1492
"42"	"Bactericera"	"curvatinerivs"	"(Förster, 1848)"	1002	1893
"43"	"Bactericera"	"parastriola"	"Conci, Ossiannilsson & Tamanini, 1988"	42	646
"44"	"Bactericera"	"reuteri"	"(Šulc, 1913)"	1002	1378
"45"	"Trioza"	"cirsii"	"Löw, 1881"	35	1787
"46"	"Trioza"	"remota"	"Förster, 1848"	35	1787
"47"	"Trioza"	"remota"	"Förster, 1848"	1001	1728
"48"	"Trioza"	"remota"	"Förster, 1848"	1004	1898
"49"	"Trioza"	"remota"	"Förster, 1848"	1008	1029
"50"	"Trioza"	"cirsii"	"Löw, 1881"	1001	1728
"51"	"Bactericera"	"curvatinerivs"	"(Förster, 1848)"	1008	1029
"52"	"Trioza"	"remota"	"Förster, 1848"	21	1509
"53"	"Trioza"	"remota"	"Förster, 1848"	1008	1032
"54"	"Trioza"	"remota"	"Förster, 1848"	1004	1899
"55"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	1002	1893
"56"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	1002	1378
"57"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	1003	1386
"58"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	1000	1433
"59"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	1008	1032
"60"	"Trioza"	"urticae"	"(Linnaeus, 1758)"	35	1790
