file;records
1;SMTP_Cecidomyiidae.xls;366
2;SMTP_Cheloninae.xls;182
3;SMTP_Psocoptera.xls;495
4;SMTP_Psylloidea_CAG_2.xls;42
5;SMTP_Psylloidea_CAG_6.xls;60
6;SMTP_Psylloidea_CAG_7.xls;82
7;SMTP_Psylloidea_CAG_8.xls;31
8;SMTP_Psylloidea_CAG_9.xls;12
9;SMTP_Psylloidea_CAG.xls;85
10;SMTP_Rogadinae.xls;161
