"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"40"	"Aeshna"	"subarctica"	"Walker, 1908"	"http://dyntaxa.se/taxon/info/208284"	"Dyntaxa"	NA	"Aeshna subarctica"
"41"	"Aeshna"	"crenata"	"Hagen, 1856"	"http://dyntaxa.se/taxon/info/208285"	"Dyntaxa"	NA	"Aeshna crenata"
"42"	"Aeshna"	"serrata"	"Hagen, 1856"	"http://dyntaxa.se/taxon/info/208286"	"Dyntaxa"	NA	"Aeshna serrata"
"43"	"Aeshna"	"grandis"	"(Linneaus, 1758)"	"http://dyntaxa.se/taxon/info/208287"	"Dyntaxa"	NA	"Aeshna grandis"
"44"	"Aeshna"	"cyanea"	"(Müller, 1764)"	"http://dyntaxa.se/taxon/info/208289"	"Dyntaxa"	NA	"Aeshna cyanea"
"45"	"Aeshna"	"mixta"	"Latreille, 1805"	"http://dyntaxa.se/taxon/info/208290"	"Dyntaxa"	NA	"Aeshna mixta"
"46"	"Aeshna"	"affinis"	"(Van der Linden, 1820)"	"http://dyntaxa.se/taxon/info/252428"	"Dyntaxa"	NA	"Aeshna affinis"
"47"	"Anax"	"sp."	"Leach, 1815"	"http://dyntaxa.se/taxon/info/1002314"	"Dyntaxa"	NA	"Anax sp."
"48"	"Anax"	"imperator"	"Leach, 1815"	"http://dyntaxa.se/taxon/info/208292"	"Dyntaxa"	NA	"Anax imperator"
"49"	"Anax"	"ephippiger"	"(Burmeister, 1839)"	"http://dyntaxa.se/taxon/info/208293"	"Dyntaxa"	NA	"Anax ephippiger"
"50"	"Anax"	"parthenope"	"(Selys, 1839)"	"http://dyntaxa.se/taxon/info/252429"	"Dyntaxa"	NA	"Anax parthenope"
"51"	"Brachytron"	"sp."	"Selys, 1850"	"http://dyntaxa.se/taxon/info/1002316"	"Dyntaxa"	NA	"Brachytron sp."
"52"	"Brachytron"	"pratense"	"O.F.Müller, 1764"	"http://dyntaxa.se/taxon/info/208294"	"Dyntaxa"	NA	"Brachytron pratense"
"53"	"Gomphus"	"sp."	"Leach, 1815"	"http://dyntaxa.se/taxon/info/1002317"	"Dyntaxa"	NA	"Gomphus sp."
"54"	"Gomphus"	"vulgatissimus"	"(Linneaus, 1758)"	"http://dyntaxa.se/taxon/info/102921"	"Dyntaxa"	NA	"Gomphus vulgatissimus"
"55"	"Gomphus"	"flavipes"	"(Charpentier, 1825)"	"http://dyntaxa.se/taxon/info/252430"	"Dyntaxa"	NA	"Gomphus flavipes"
"56"	"Ophiogomphus"	"sp."	"Selys, 1854"	"http://dyntaxa.se/taxon/info/1002318"	"Dyntaxa"	NA	"Ophiogomphus sp."
"57"	"Ophiogomphus"	"cecilia"	"Fourcroy, 1785"	"http://dyntaxa.se/taxon/info/101461"	"Dyntaxa"	NA	"Ophiogomphus cecilia"
"58"	"Onychogomphus"	"sp."	"Selys, 1854"	"http://dyntaxa.se/taxon/info/1002319"	"Dyntaxa"	NA	"Onychogomphus sp."
"59"	"Onychogomphus"	"forcipatus"	"(Linneaus, 1758)"	"http://dyntaxa.se/taxon/info/208297"	"Dyntaxa"	NA	"Onychogomphus forcipatus"
"60"	"Cordulegaster"	"sp."	"Leach, 1815"	"http://dyntaxa.se/taxon/info/1002320"	"Dyntaxa"	NA	"Cordulegaster sp."
"61"	"Cordulegaster"	"boltonii"	"(Donovan, 1807)"	"http://dyntaxa.se/taxon/info/208298"	"Dyntaxa"	NA	"Cordulegaster boltonii"
"62"	"Cordulia"	"sp."	"Leach, 1815"	"http://dyntaxa.se/taxon/info/1002321"	"Dyntaxa"	NA	"Cordulia sp."
"63"	"Cordulia"	"aenea"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/208299"	"Dyntaxa"	NA	"Cordulia aenea"
"64"	"Somatochlora"	"sp."	"Selys, 1871"	"http://dyntaxa.se/taxon/info/1002322"	"Dyntaxa"	NA	"Somatochlora sp."
"65"	"Somatochlora"	"sahlbergi"	"Trybom, 1889"	"http://dyntaxa.se/taxon/info/102601"	"Dyntaxa"	NA	"Somatochlora sahlbergi"
"66"	"Somatochlora"	"metallica"	"(van der Linden, 1825)"	"http://dyntaxa.se/taxon/info/208300"	"Dyntaxa"	NA	"Somatochlora metallica"
"67"	"Somatocholora"	"flavomaculata"	"(Vander Linden, 1825)"	"http://dyntaxa.se/taxon/info/208301"	"Dyntaxa"	NA	"Somatocholora flavomaculata"
"68"	"Somatochlora"	"arctica"	"(Zetterstedt, 1840)"	"http://dyntaxa.se/taxon/info/208302"	"Dyntaxa"	NA	"Somatochlora arctica"
"69"	"Somatochlora"	"alpestris"	"(Selys, 1840)"	"http://dyntaxa.se/taxon/info/208303"	"Dyntaxa"	NA	"Somatochlora alpestris"
"70"	"Epitheca"	"sp."	"Charpentier, 1840"	"http://dyntaxa.se/taxon/info/1002323"	"Dyntaxa"	NA	"Epitheca sp."
"71"	"Epitheca"	"bimaculata"	"(Charpentier, 1825)"	"http://dyntaxa.se/taxon/info/100912"	"Dyntaxa"	NA	"Epitheca bimaculata"
"72"	"Leucorrhinia"	"sp."	"Brittinger, 1850"	"http://dyntaxa.se/taxon/info/1002324"	"Dyntaxa"	NA	"Leucorrhinia sp."
"73"	"Leucorrhinia"	"pectoralis"	"(Charpentier, 1825)"	"http://dyntaxa.se/taxon/info/102918"	"Dyntaxa"	NA	"Leucorrhinia pectoralis"
"74"	"Leucorrhinia"	"caudalis"	"(Charpentier, 1840)"	"http://dyntaxa.se/taxon/info/208306"	"Dyntaxa"	NA	"Leucorrhinia caudalis"
"75"	"Leucorrhinia"	"albifrons"	"(Burmeister, 1839)"	"http://dyntaxa.se/taxon/info/208307"	"Dyntaxa"	NA	"Leucorrhinia albifrons"
