"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"40"	"Pherbellia"	"albocostata"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241784"	"Dyntaxa"	NA	"Pherbellia albocostata"
"41"	"Pherbellia"	"alpina"	"(Frey, 1930)"	"http://dyntaxa.se/taxon/info/241785"	"Dyntaxa"	NA	"Pherbellia alpina"
"42"	"Pherbellia"	"annulipes"	"(Zetterstedt, 1846)"	"http://dyntaxa.se/taxon/info/241786"	"Dyntaxa"	NA	"Pherbellia annulipes"
"43"	"Pherbellia"	"argyra"	"Verbeke, 1967"	"http://dyntaxa.se/taxon/info/241787"	"Dyntaxa"	NA	"Pherbellia argyra"
"44"	"Pherbellia"	"brunnipes"	"(Meigen, 1838)"	"http://dyntaxa.se/taxon/info/241788"	"Dyntaxa"	NA	"Pherbellia brunnipes"
"45"	"Pherbellia"	"cinerella"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241789"	"Dyntaxa"	NA	"Pherbellia cinerella"
"46"	"Pherbellia"	"dorsata"	"(Zetterstedt, 1846)"	"http://dyntaxa.se/taxon/info/241790"	"Dyntaxa"	NA	"Pherbellia dorsata"
"47"	"Pherbellia"	"dubia"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241791"	"Dyntaxa"	NA	"Pherbellia dubia"
"48"	"Pherbellia"	"griseicollis"	"(Becker, 1900)"	"http://dyntaxa.se/taxon/info/241792"	"Dyntaxa"	NA	"Pherbellia griseicollis"
"49"	"Pherbellia"	"griseola"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241793"	"Dyntaxa"	NA	"Pherbellia griseola"
"50"	"Pherbellia"	"hackmani"	"Rozkosný, 1982"	"http://dyntaxa.se/taxon/info/241794"	"Dyntaxa"	NA	"Pherbellia hackmani"
"51"	"Pherbellia"	"nana"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241795"	"Dyntaxa"	NA	"Pherbellia nana"
"52"	"Pherbellia"	"obscura"	"(Ringdahl, 1948)"	"http://dyntaxa.se/taxon/info/241796"	"Dyntaxa"	NA	"Pherbellia obscura"
"53"	"Pherbellia"	"obtusa"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241797"	"Dyntaxa"	NA	"Pherbellia obtusa"
"54"	"Pherbellia"	"pallidiventris"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241798"	"Dyntaxa"	NA	"Pherbellia pallidiventris"
"55"	"Pherbellia"	"rozkosnyi"	"Verbeke, 1967"	"http://dyntaxa.se/taxon/info/241799"	"Dyntaxa"	NA	"Pherbellia rozkosnyi"
"56"	"Pherbellia"	"schoenherri"	"(Fallén, 1826)"	"http://dyntaxa.se/taxon/info/241800"	"Dyntaxa"	NA	"Pherbellia schoenherri"
"57"	"Pherbellia"	"scutellaris"	"(von Roser, 1840)"	"http://dyntaxa.se/taxon/info/241801"	"Dyntaxa"	NA	"Pherbellia scutellaris"
"58"	"Pherbellia"	"sordida"	"(Hendel, 1902)"	"http://dyntaxa.se/taxon/info/241802"	"Dyntaxa"	NA	"Pherbellia sordida"
"59"	"Pherbellia"	"stackelbergi"	"Elberg, 1965"	"http://dyntaxa.se/taxon/info/241803"	"Dyntaxa"	NA	"Pherbellia stackelbergi"
"60"	"Pherbellia"	"stylifera"	"Rozkosný, 1982"	"http://dyntaxa.se/taxon/info/241804"	"Dyntaxa"	NA	"Pherbellia stylifera"
"61"	"Pherbellia"	"ventralis"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241805"	"Dyntaxa"	NA	"Pherbellia ventralis"
"62"	"Pherbina"	"sp."	"Robineau-Desvoidy 1830"	"urn:lsid:faunaeur.org:taxname:405041"	"Fauna Europaea"	NA	"Pherbina sp."
"63"	"Pherbina"	"coryleti"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/241808"	"Dyntaxa"	NA	"Pherbina coryleti"
"64"	"Pherbina"	"intermedia"	"Verbeke, 1948"	"http://dyntaxa.se/taxon/info/241809"	"Dyntaxa"	NA	"Pherbina intermedia"
"65"	"Psacadina"	"sp."	"Enderlein 1939"	"urn:lsid:faunaeur.org:taxname:405045"	"Fauna Europaea"	NA	"Psacadina sp."
"66"	"Psacadina"	"verbekei"	"Rozkosný in Knutson & al., 1975"	"http://dyntaxa.se/taxon/info/241810"	"Dyntaxa"	NA	"Psacadina verbekei"
"67"	"Psacadina"	"zernyi"	"(Mayer, 1953)"	"http://dyntaxa.se/taxon/info/241811"	"Dyntaxa"	NA	"Psacadina zernyi"
"68"	"Psacadina"	"vittigera"	"(Schiner, 1864)"	"http://dyntaxa.se/taxon/info/6000113"	"Dyntaxa"	NA	"Psacadina vittigera"
"69"	"Pteromicra"	"sp."	"Lioy 1864"	"urn:lsid:faunaeur.org:taxname:405051"	"Fauna Europaea"	NA	"Pteromicra sp."
"70"	"Pteromicra"	"angustipennis"	"(Staeger, 1845)"	"http://dyntaxa.se/taxon/info/241812"	"Dyntaxa"	NA	"Pteromicra angustipennis"
"71"	"Pteromicra"	"glabricula"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241813"	"Dyntaxa"	NA	"Pteromicra glabricula"
"72"	"Pteromicra"	"leucopeza"	"(Meigen, 1838)"	"http://dyntaxa.se/taxon/info/241814"	"Dyntaxa"	NA	"Pteromicra leucopeza"
"73"	"Pteromicra"	"pectorosa"	"(Hendel, 1902)"	"http://dyntaxa.se/taxon/info/241815"	"Dyntaxa"	NA	"Pteromicra pectorosa"
"74"	"Pteromicra"	"oldenbergi"	"(Hendel, 1902)"	"http://dyntaxa.se/taxon/info/250252"	"Dyntaxa"	NA	"Pteromicra oldenbergi"
"75"	"Renocera"	"sp."	"Hendel 1900"	"urn:lsid:faunaeur.org:taxname:405060"	"Fauna Europaea"	NA	"Renocera sp."
"76"	"Renocera"	"pallida"	"(Fallén, 1820)"	"http://dyntaxa.se/taxon/info/241816"	"Dyntaxa"	NA	"Renocera pallida"
"77"	"Renocera"	"striata"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/241817"	"Dyntaxa"	NA	"Renocera striata"
"78"	"Renocera"	"stroblii"	"Hendel, 1900"	"http://dyntaxa.se/taxon/info/241818"	"Dyntaxa"	NA	"Renocera stroblii"
"79"	"Sciomyza"	"sp."	"Fallen 1820"	"urn:lsid:faunaeur.org:taxname:62209"	"Fauna Europaea"	NA	"Sciomyza sp."
"80"	"Sciomyza"	"dryomyzina"	"Zetterstedt, 1846"	"http://dyntaxa.se/taxon/info/241819"	"Dyntaxa"	NA	"Sciomyza dryomyzina"
"81"	"Sciomyza"	"simplex"	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/241820"	"Dyntaxa"	NA	"Sciomyza simplex"
"82"	"Sciomyza"	"testacea"	"Macquart, 1835"	"http://dyntaxa.se/taxon/info/241821"	"Dyntaxa"	NA	"Sciomyza testacea"
"83"	"Sepedon"	"sp."	"Latreille 1804"	"urn:lsid:faunaeur.org:taxname:405073"	"Fauna Europaea"	NA	"Sepedon sp."
"84"	"Sepedon"	"sphegea"	"(Fabricius, 1775)"	"http://dyntaxa.se/taxon/info/241822"	"Dyntaxa"	NA	"Sepedon sphegea"
"85"	"Sepedon"	"spinipes"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/241823"	"Dyntaxa"	NA	"Sepedon spinipes"
"86"	"Tetanocera"	"sp."	"Duméril 1800"	"urn:lsid:faunaeur.org:taxname:62206"	"Fauna Europaea"	NA	"Tetanocera sp."
"87"	"Tetanocera"	"arrogans"	"Meigen, 1830"	"http://dyntaxa.se/taxon/info/241825"	"Dyntaxa"	NA	"Tetanocera arrogans"
"88"	"Tetanocera"	"elata"	"(Fabricius, 1781)"	"http://dyntaxa.se/taxon/info/241826"	"Dyntaxa"	NA	"Tetanocera elata"
"89"	"Tetanocera"	"ferruginea"	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/241827"	"Dyntaxa"	NA	"Tetanocera ferruginea"
"90"	"Tetanocera"	"freyi"	"Stackelberg, 1963"	"http://dyntaxa.se/taxon/info/241828"	"Dyntaxa"	NA	"Tetanocera freyi"
"91"	"Tetanocera"	"fuscinervis"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/241829"	"Dyntaxa"	NA	"Tetanocera fuscinervis"
"92"	"Tetanocera"	"hyalipennis"	"von Roser, 1840"	"http://dyntaxa.se/taxon/info/241830"	"Dyntaxa"	NA	"Tetanocera hyalipennis"
"93"	"Tetanocera"	"lapponica"	"Frey, 1924"	"http://dyntaxa.se/taxon/info/241831"	"Dyntaxa"	NA	"Tetanocera lapponica"
"94"	"Tetanocera"	"latifibula"	"Frey, 1924"	"http://dyntaxa.se/taxon/info/241832"	"Dyntaxa"	NA	"Tetanocera latifibula"
"95"	"Tetanocera"	"montana"	"Day, 1881"	"http://dyntaxa.se/taxon/info/241833"	"Dyntaxa"	NA	"Tetanocera montana"
"96"	"Tetanocera"	"ornatifrons"	"Frey, 1924"	"http://dyntaxa.se/taxon/info/241834"	"Dyntaxa"	NA	"Tetanocera ornatifrons"
"97"	"Tetanocera"	"phyllophora"	"Melander, 1920"	"http://dyntaxa.se/taxon/info/241835"	"Dyntaxa"	NA	"Tetanocera phyllophora"
"98"	"Tetanocera"	"punctifrons"	"Rondani, 1868"	"http://dyntaxa.se/taxon/info/241836"	"Dyntaxa"	NA	"Tetanocera punctifrons"
"99"	"Tetanocera"	"robusta"	"Loew, 1847"	"http://dyntaxa.se/taxon/info/241837"	"Dyntaxa"	NA	"Tetanocera robusta"
"100"	"Tetanocera"	"silvatica"	"Meigen, 1830"	"http://dyntaxa.se/taxon/info/241838"	"Dyntaxa"	NA	"Tetanocera silvatica"
"101"	"Tetanura"	"sp."	"Fallen 1820"	"urn:lsid:faunaeur.org:taxname:405108"	"Fauna Europaea"	NA	"Tetanura sp."
"102"	"Tetanura"	"pallidiventris"	"Fallén, 1820"	"http://dyntaxa.se/taxon/info/241839"	"Dyntaxa"	NA	"Tetanura pallidiventris"
"103"	"Trypetoptera"	"sp."	"Hendel 1900"	"urn:lsid:faunaeur.org:taxname:405113"	"Fauna Europaea"	NA	"Trypetoptera sp."
"104"	"Trypetoptera"	"punctulata"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/241840"	"Dyntaxa"	NA	"Trypetoptera punctulata"
"105"	"Pherbellia"	"pallidicarpa"	"(Rondani 1868)"	"urn:lsid:faunaeur.org:taxname:405027"	"Fauna Europaea"	NA	"Pherbellia pallidicarpa"
"106"	"Pelidnoptera"	"fuscipennis"	"(Meigen 1830)"	"urn:lsid:faunaeur.org:taxname:404891"	"Fauna Europaea"	NA	"Pelidnoptera fuscipennis"
"107"	"Pherbellia"	"knutsoni"	"Verbeke 1967"	"urn:lsid:faunaeur.org:taxname:405018"	"Fauna Europaea"	NA	"Pherbellia knutsoni"
