"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Boloria"	"selene"	"(Denis & Schiffermüller, 1775)"	2	13	1643	0
"2"	"Argynnis"	"adippe"	"(Denis & Schiffermüller, 1775)"	1	13	1643	0
"3"	"Pieris"	"rapae"	"(Linnaeus, 1758)"	2	13	1643	0
"4"	"Coenonympha"	"arcania"	"(Linnaeus, 1761)"	5	13	1643	0
"5"	"Lasiommata"	"maera"	"(Linnaeus, 1758)"	8	13	1643	0
"6"	"Aphantopus"	"hyperantus"	"(Linnaeus, 1758)"	45	13	1643	0
"7"	"Lasiommata"	"maera"	"(Linnaeus, 1758)"	2	5	64	0
"8"	"Aphantopus"	"hyperantus"	"(Linnaeus, 1758)"	1	31	1546	0
