"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"41"	"Protonemura"	"sp."	"Kempny 1898"	"urn:lsid:faunaeur.org:taxname:86086"	"Fauna Eurpaea"	"Protonemura sp."
"42"	"Protonemura"	"meyeri"	"(Pictet, 1841)"	"https://www.dyntaxa.se/taxon/info/226037"	"Dyntaxa"	"Protonemura meyeri"
"43"	"Capnia"	"sp."	"Pictet 1841"	"urn:lsid:faunaeur.org:taxname:86169"	"Fauna Eurpaea"	"Capnia sp."
"44"	"Capnia"	"nigra"	"(Pictet, 1833)"	"https://www.dyntaxa.se/taxon/info/100538"	"Dyntaxa"	"Capnia nigra"
"45"	"Capnia"	"pygmaea"	"(Zetterstedt, 1840)"	"https://www.dyntaxa.se/taxon/info/100539"	"Dyntaxa"	"Capnia pygmaea"
"46"	"Capnia"	"vidua"	"Klapálek, 1904"	"https://www.dyntaxa.se/taxon/info/100540"	"Dyntaxa"	"Capnia vidua"
"47"	"Capnia"	"atra"	"Morton, 1896"	"https://www.dyntaxa.se/taxon/info/226014"	"Dyntaxa"	"Capnia atra"
"48"	"Capnia"	"bifrons"	"(Newman, 1839)"	"https://www.dyntaxa.se/taxon/info/226015"	"Dyntaxa"	"Capnia bifrons"
"49"	"Capnopsis"	"sp."	"Morton 1896"	"urn:lsid:faunaeur.org:taxname:86171"	"Fauna Eurpaea"	"Capnopsis sp."
"50"	"Capnopsis"	"schilleri"	"(Rostock, 1892)"	"https://www.dyntaxa.se/taxon/info/226017"	"Dyntaxa"	"Capnopsis schilleri"
"51"	"Leuctra"	"sp."	"Stephens 1836"	"urn:lsid:faunaeur.org:taxname:86198"	"Fauna Eurpaea"	"Leuctra sp."
"52"	"Leuctra"	"digitata"	"Kempny, 1899"	"https://www.dyntaxa.se/taxon/info/226025"	"Dyntaxa"	"Leuctra digitata"
"53"	"Leuctra"	"fusca"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/226026"	"Dyntaxa"	"Leuctra fusca"
"54"	"Leuctra"	"hippopus"	"Kempny, 1899"	"https://www.dyntaxa.se/taxon/info/226027"	"Dyntaxa"	"Leuctra hippopus"
"55"	"Leuctra"	"nigra"	"(Olivier, 1811)"	"https://www.dyntaxa.se/taxon/info/226028"	"Dyntaxa"	"Leuctra nigra"
