"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"40"	"Ancistrocerus"	"scoticus"	"(Curtis, 1826)"	"http://dyntaxa.se/taxon/info/232893"	"Dyntaxa"	"Ancistrocerus scoticus"
"41"	"Ancistrocerus"	"oviventris"	"(Wesmael, 1836)"	"http://dyntaxa.se/taxon/info/232894"	"Dyntaxa"	"Ancistrocerus oviventris"
"42"	"Allodynerus"	"sp."	"Blüthgen, 1938"	"http://dyntaxa.se/taxon/info/1008597"	"Dyntaxa"	"Allodynerus sp."
"43"	"Allodynerus"	"delphinalis"	"(Giraud, 1866)"	"http://dyntaxa.se/taxon/info/232899"	"Dyntaxa"	"Allodynerus delphinalis"
"44"	"Euodynerus"	"sp."	"Dalla Torre, 1904"	"http://dyntaxa.se/taxon/info/1008598"	"Dyntaxa"	"Euodynerus sp."
"45"	"Euodynerus"	"notatus"	"(Jurine, 1807)"	"http://dyntaxa.se/taxon/info/232900"	"Dyntaxa"	"Euodynerus notatus"
"46"	"Euodynerus"	"quadrifasciatus"	"(J.C.Fabricius, 1793)"	"http://dyntaxa.se/taxon/info/232901"	"Dyntaxa"	"Euodynerus quadrifasciatus"
"47"	"Vespa"	"sp."	"Linnaeus, 1758"	"http://dyntaxa.se/taxon/info/1006956"	"Dyntaxa"	"Vespa sp."
"48"	"Vespa"	"crabro"	"Linnaeus, 1758"	"http://dyntaxa.se/taxon/info/101969"	"Dyntaxa"	"Vespa crabro"
"49"	"Dolichovespula"	"sp."	"Rohwer, 1916"	"http://dyntaxa.se/taxon/info/1008592"	"Dyntaxa"	"Dolichovespula sp."
"50"	"Dolichovespula"	"media"	"(Retzius, 1783)"	"http://dyntaxa.se/taxon/info/232869"	"Dyntaxa"	"Dolichovespula media"
"51"	"Dolichovespula"	"norwegica"	"(J.C.Fabricius, 1781)"	"http://dyntaxa.se/taxon/info/232870"	"Dyntaxa"	"Dolichovespula norwegica"
"52"	"Dolichovespula"	"saxonica"	"(J.C.Fabricius, 1793)"	"http://dyntaxa.se/taxon/info/232871"	"Dyntaxa"	"Dolichovespula saxonica"
"53"	"Dolichovespula"	"sylvestris"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/232872"	"Dyntaxa"	"Dolichovespula sylvestris"
