"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Eupelmus"	"urozonus"	"Dalman, 1820"	1	13	1648	"2005.viii.23"
"2"	"Calosota"	"acron"	"(Walker, 1848)"	1	30	1056	"0"
"3"	"Eupelmus"	"annulatus"	"Nees 1834"	1	22	1829	"0"
"4"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	4	22	1829	"0"
"5"	"Eupelmus"	"annulatus"	"Nees 1834"	1	1006	1426	"0"
"6"	"Eupelmus"	"annulatus"	"Nees 1834"	1	22	1731	"0"
"7"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	32	22	1731	"0"
"8"	"Eupelmus"	"pini"	"Taylor, 1927"	1	22	1731	"0"
"9"	"Eupelmus"	"linearis"	"Forster 1860"	1	22	1731	"0"
"10"	"Eupelmus"	"annulatus"	"Nees 1834"	1	22	1731	"0"
"11"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	2	22	1731	"0"
"12"	"Eupelmus"	"urozonus"	"Dalman, 1820"	2	1004	1898	"0"
"13"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	9	28	1465	"0"
"14"	"Calosota"	"aestivalis"	"Curtis, 1836"	1	28	1465	"0"
"15"	"Eupelmus"	"annulatus"	"Nees 1834"	1	28	1465	"0"
"16"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	53	22	1730	"0"
"17"	"Eupelmus"	"linearis"	"Forster 1860"	27	22	1730	"0"
"18"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	17	22	1364	"0"
"19"	"Eupelmus"	"urozonus"	"Dalman, 1820"	2	22	1364	"0"
"20"	"Calosota"	"aestivalis"	"Curtis, 1836"	1	2	788	"0"
"21"	"Eupelmus"	"pini"	"Taylor, 1927"	1	2	788	"0"
"22"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	4	6	369	"0"
"23"	"Eupelmus"	"urozonus"	"Dalman, 1820"	2	39	1803	"0"
"24"	"Eupelmus"	"atropurpureus"	"Dalman, 1820"	10	20	233	"0"
"25"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	2	20	233	"0"
"26"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	6	853	"0"
"27"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	2003	2033	"0"
"28"	"Eupelmus"	"linearis"	"Forster 1860"	1	28	1458	"0"
"29"	"Eupelmus"	"martellii"	"Masi 1941"	1	28	1458	"0"
"30"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	24	28	1458	"0"
"31"	"Eupelmus"	"spongipartus"	"Forster 1860"	1	1004	1899	"0"
"32"	"Eupelmus"	"urozonus"	"Dalman, 1820"	1	1004	1899	"0"
"33"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	41	626	"0"
"34"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	4	2006	2016	"0"
"35"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	12	2046	2057	"0"
"36"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	4	2046	2051	"0"
"37"	"Eupelmus"	"annulatus"	"Nees 1834"	1	28	1464	"0"
"38"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	24	1674	"0"
"39"	"Calosota"	"aestivalis"	"Curtis, 1836"	1	1000	1322	"0"
"40"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	2	22	779	"0"
"41"	"Eupelmus"	"linearis"	"Forster 1860"	4	22	779	"0"
"42"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	1001	1728	"0"
"43"	"Eupelmus"	"linearis"	"Forster 1860"	1	2046	2054	"0"
"44"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	2	28	1467	"0"
"45"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	28	1459	"0"
"46"	"Eupelmus"	"martellii"	"Masi 1941"	5	30	1717	"0"
"47"	"Eupelmus"	"martellii"	"Masi 1941"	5	30	1055	"0"
"48"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	3	12	69	"0"
"49"	"Merostenus"	"excavatus"	"(Dalman, 1820)"	1	35	560	"0"
"50"	"Eupelmus"	"urozonus"	"Dalman, 1820"	4	39	1808	"0"
"51"	"Eupelmus"	"urozonus"	"Dalman, 1820"	1	1008	1747	"0"
"52"	"Eupelmus"	"urozonus"	"Dalman, 1820"	1	38	1449	"0"
"53"	"Eupelmus"	"annulatus"	"Nees 1834"	1	26	1692	"0"
"54"	"Eupelmus"	"urozonus"	"Dalman, 1820"	2	39	1139	"0"
"55"	"Eupelmus"	"urozonus"	"Dalman, 1820"	2	39	1140	"0"
"56"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	1001	1335	"0"
"57"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	35	2046	2056	"0"
"58"	"Eupelmus"	"linearis"	"Forster 1860"	1	2046	2056	"2008.viii.01"
"59"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	3	2046	2058	"2008.ix.01"
"60"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	1	28	1463	"2004.ix.21"
"61"	"Merostenus"	"excavatus"	"(Dalman, 1820)"	1	28	1463	"2004.ix.21"
"62"	"Eupelmus"	"vesicularis"	"(Retzius, 1783)"	4	22	840	"2005.iv.25"
"63"	"Eupelmus"	"urozonus"	"Dalman, 1820"	1	39	1138	"2004.vii.31"
