"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Rhyssa"	"amoena"	"Gravenhorst 1829"	1	9	2064	"2003.viii.02"
"2"	"Rhyssa"	"persuasoria"	"(Linnaeus, 1758)"	2	7	380	"2003.vii.29"
"3"	"Rhyssa"	"persuasoria"	"(Linnaeus, 1758)"	1	56	1267	"2004.vii.23"
"4"	"Rhyssa"	"persuasoria"	"(Linnaeus, 1758)"	1	4	88	"2003.vii.02"
