"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"40"	"Choerades"	"femoratus"	"(Meigen, 1820)"	"http://dyntaxa.se/taxon/info/236206"	NA	"Dyntaxa"	"Choerades femoratus"
"41"	"Laphria"	"sp."	"Meigen, 1803"	"http://www.faunaeur.org/full_results.php?id=59702"	NA	"Fauna Europaea"	"Laphria sp."
"42"	"Laphria"	"ephippium"	"(Fabricius, 1781)"	"http://dyntaxa.se/taxon/info/102092"	NA	"Dyntaxa"	"Laphria ephippium"
"43"	"Laphria"	"gibbosa"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/232164"	NA	"Dyntaxa"	"Laphria gibbosa"
"44"	"Laphria"	"flava"	"(Linnaeus, 1761)"	"http://dyntaxa.se/taxon/info/236201"	NA	"Dyntaxa"	"Laphria flava"
"45"	"Leptogaster"	"sp."	"Meigen, 1803"	"http://www.faunaeur.org/full_results.php?id=60274"	NA	"Fauna Europaea"	"Leptogaster sp."
"46"	"Leptogaster"	"guttiventris"	"Zetterstedt, 1842"	"http://dyntaxa.se/taxon/info/236208"	NA	"Dyntaxa"	"Leptogaster guttiventris"
"47"	"Leptogaster"	"cylindrica"	"(De Geer, 1776)"	"http://dyntaxa.se/taxon/info/236209"	NA	"Dyntaxa"	"Leptogaster cylindrica"
"48"	"Cyrtopogon"	"sp."	"Loew, 1847"	"http://www.faunaeur.org/full_results.php?id=60009"	NA	"Fauna Europaea"	"Cyrtopogon sp."
"49"	"Cyrtopogon"	"lapponicus"	"(Zetterstedt, 1838)"	"http://dyntaxa.se/taxon/info/100789"	NA	"Dyntaxa"	"Cyrtopogon lapponicus"
"50"	"Cyrtopogon"	"luteicornis"	"(Zetterstedt, 1842)"	"http://dyntaxa.se/taxon/info/100790"	NA	"Dyntaxa"	"Cyrtopogon luteicornis"
"51"	"Cyrtopogon"	"lateralis"	"(Fallén, 1814)"	"http://dyntaxa.se/taxon/info/236217"	NA	"Dyntaxa"	"Cyrtopogon lateralis"
"52"	"Dioctria"	"sp."	"Meigen, 1803"	"http://www.faunaeur.org/full_results.php?id=59982"	NA	"Fauna Europaea"	"Dioctria sp."
"53"	"Dioctria"	"linearis"	"(Fabricius, 1787)"	"http://dyntaxa.se/taxon/info/100836"	NA	"Dyntaxa"	"Dioctria linearis"
"54"	"Dioctria"	"rufipes"	"(De Geer, 1776)"	"http://dyntaxa.se/taxon/info/236210"	NA	"Dyntaxa"	"Dioctria rufipes"
"55"	"Dioctria"	"oelandica"	"(Linnaeus, 1758)"	"http://dyntaxa.se/taxon/info/236211"	NA	"Dyntaxa"	"Dioctria oelandica"
"56"	"Dioctria"	"hyalipennis"	"(Fabricius, 1794)"	"http://dyntaxa.se/taxon/info/236212"	NA	"Dyntaxa"	"Dioctria hyalipennis"
"57"	"Dioctria"	"atricapilla"	"Meigen, 1804"	"http://dyntaxa.se/taxon/info/236214"	NA	"Dyntaxa"	"Dioctria atricapilla"
"58"	"Lasiopogon"	"sp."	"Loew, 1847"	"http://www.faunaeur.org/full_results.php?id=59960"	NA	"Fauna Europaea"	"Lasiopogon sp."
"59"	"Lasiopogon"	"cinctus"	"(Fabricius, 1781)"	"http://dyntaxa.se/taxon/info/236219"	NA	"Dyntaxa"	"Lasiopogon cinctus"
"60"	"Dysmachus"	"picipes"	"(Meigen, 1820)"	"http://eol.org/pages/799218/names/synonyms"	"preferred combination by taxonomist"	"Encyclopedia of Life"	"Dysmachus picipes"
"61"	"Epitriptus"	"cingulatus"	"(Fabricius, 1781)"	"http://eol.org/pages/799192/names"	"preferred combination by taxonomist"	NA	"Epitriptus cingulatus"
