"Genus"	"Species"	"Author"	"GUID"	"Source"	"Taxon.name..computed."
"42"	"Leiophron"	"pallidistigma"	"Curtis, 1833"	"http://dyntaxa.se/taxon/info/253147"	"Dyntaxa"	"Leiophron pallidistigma"
"43"	"Leiophron"	"similis"	"Curtis, 1833"	"http://dyntaxa.se/taxon/info/253152"	"Dyntaxa"	"Leiophron similis"
"44"	"Meteorus"	"sp."	"Haliday, 1835"	"http://dyntaxa.se/taxon/info/1014350"	"Dyntaxa"	"Meteorus sp."
"45"	"Meteorus"	"abdominator"	"(Nees, 1811)"	"http://dyntaxa.se/taxon/info/253154"	"Dyntaxa"	"Meteorus abdominator"
"46"	"Meteorus"	"abscissus"	"Thomson, 1895"	"http://dyntaxa.se/taxon/info/253155"	"Dyntaxa"	"Meteorus abscissus"
"47"	"Meteorus"	"acerbiavorus"	"Belokobylskij, Stigenberg & Vikberg, 2011"	"http://dyntaxa.se/taxon/info/6002578"	"Dyntaxa"	"Meteorus acerbiavorus"
"48"	"Meteorus"	"affinis"	"(Wesmael, 1835)"	"http://dyntaxa.se/taxon/info/253156"	"Dyntaxa"	"Meteorus affinis"
"49"	"Meteorus"	"alborossicus"	"Lobodenko, 2000"	"http://dyntaxa.se/taxon/info/6002579"	"Dyntaxa"	"Meteorus alborossicus"
"50"	"Meteorus"	"artocercus"	"Stigenberg, 2011"	"http://dyntaxa.se/taxon/info/6002580"	"Dyntaxa"	"Meteorus artocercus"
"51"	"Meteorus"	"breviantennatus"	"Tobias, 1986"	"http://dyntaxa.se/taxon/info/6006758"	"Dyntaxa"	"Meteorus breviantennatus"
"52"	"Meteorus"	"brevicauda"	"Thomson, 1895"	"http://dyntaxa.se/taxon/info/253157"	"Dyntaxa"	"Meteorus brevicauda"
"53"	"Meteorus"	"cespitator"	"(Thunberg, 1822)"	"http://dyntaxa.se/taxon/info/253158"	"Dyntaxa"	"Meteorus cespitator"
"54"	"Meteorus"	"cinctellus"	"(Spinola, 1808)"	"http://dyntaxa.se/taxon/info/253159"	"Dyntaxa"	"Meteorus cinctellus"
"55"	"Meteorus"	"cis"	"(Bouché, 1834)"	"http://dyntaxa.se/taxon/info/253160"	"Dyntaxa"	"Meteorus cis"
"56"	"Meteorus"	"colon"	"(Haliday, 1835)"	"http://dyntaxa.se/taxon/info/253161"	"Dyntaxa"	"Meteorus colon"
"57"	"Meteorus"	"consimilis"	"(Nees, 1834)"	"http://dyntaxa.se/taxon/info/253162"	"Dyntaxa"	"Meteorus consimilis"
"58"	"Meteorus"	"corax"	"Marshall, 1898"	"http://dyntaxa.se/taxon/info/253163"	"Dyntaxa"	"Meteorus corax"
"59"	"Meteorus"	"densipilosus"	"Stigenberg, 2011"	"http://dyntaxa.se/taxon/info/6002581"	"Dyntaxa"	"Meteorus densipilosus"
"60"	"Meteorus"	"eadyi"	"Huddleston, 1980"	"http://dyntaxa.se/taxon/info/253164"	"Dyntaxa"	"Meteorus eadyi"
"61"	"Meteorus"	"eklundi"	"Stigenberg, 2011"	"http://dyntaxa.se/taxon/info/6002582"	"Dyntaxa"	"Meteorus eklundi"
"62"	"Meteorus"	"filator"	"(Haliday, 1835)"	"http://dyntaxa.se/taxon/info/253165"	"Dyntaxa"	"Meteorus filator"
"63"	"Meteorus"	"heliophilus"	"Fischer, 1970"	"http://dyntaxa.se/taxon/info/6002583"	"Dyntaxa"	"Meteorus heliophilus"
"64"	"Meteorus"	"hirsutipes"	"Huddleston, 1980"	"http://dyntaxa.se/taxon/info/253167"	"Dyntaxa"	"Meteorus hirsutipes"
"65"	"Meteorus"	"ictericus"	"(Nees, 1812)"	"http://dyntaxa.se/taxon/info/253168"	"Dyntaxa"	"Meteorus ictericus"
"66"	"Meteorus"	"jaculator"	"(Haliday, 1835)"	"http://dyntaxa.se/taxon/info/253169"	"Dyntaxa"	"Meteorus jaculator"
"67"	"Meteorus"	"kyushuensis"	"Maeto, 1988"	"http://dyntaxa.se/taxon/info/6002584"	"Dyntaxa"	"Meteorus kyushuensis"
"68"	"Meteorus"	"limbatus"	"Maeto, 1988"	"http://dyntaxa.se/taxon/info/6002585"	"Dyntaxa"	"Meteorus limbatus"
"69"	"Meteorus"	"lionotus"	"Thomson, 1895"	"http://dyntaxa.se/taxon/info/253170"	"Dyntaxa"	"Meteorus lionotus"
"70"	"Meteorus"	"longicaudus"	"(Ratzeburg, 1848)"	"http://dyntaxa.se/taxon/info/253171"	"Dyntaxa"	"Meteorus longicaudus"
"71"	"Meteorus"	"longipilosus"	"Stigenberg, 2011"	"http://dyntaxa.se/taxon/info/6002586"	"Dyntaxa"	"Meteorus longipilosus"
"72"	"Meteorus"	"melanostictus"	"Capron, 1887"	"http://dyntaxa.se/taxon/info/253172"	"Dyntaxa"	"Meteorus melanostictus"
"73"	"Meteorus"	"micropterus"	"Haliday, 1835"	"http://dyntaxa.se/taxon/info/253173"	"Dyntaxa"	"Meteorus micropterus"
"74"	"Meteorus"	"obfuscatus"	"(Nees, 1811)"	"http://dyntaxa.se/taxon/info/253174"	"Dyntaxa"	"Meteorus obfuscatus"
"75"	"Meteorus"	"obsoletus"	"(Wesmael, 1835)"	"http://dyntaxa.se/taxon/info/253175"	"Dyntaxa"	"Meteorus obsoletus"
"76"	"Meteorus"	"oculatus"	"Ruthe, 1862"	"http://dyntaxa.se/taxon/info/253176"	"Dyntaxa"	"Meteorus oculatus"
"77"	"Meteorus"	"pallipes"	"(Wesmael, 1835)"	"http://dyntaxa.se/taxon/info/253177"	"Dyntaxa"	"Meteorus pallipes"
"78"	"Meteorus"	"pendulus"	"(Müller, 1776)"	"http://dyntaxa.se/taxon/info/253584"	"Dyntaxa"	"Meteorus pendulus"
"79"	"Meteorus"	"pulchricornis"	"(Wesmael, 1835)"	"http://dyntaxa.se/taxon/info/253179"	"Dyntaxa"	"Meteorus pulchricornis"
"80"	"Meteorus"	"punctifrons"	"Thomson, 1895"	"http://dyntaxa.se/taxon/info/253180"	"Dyntaxa"	"Meteorus punctifrons"
"81"	"Meteorus"	"rubens"	"(Nees, 1811)"	"http://dyntaxa.se/taxon/info/253181"	"Dyntaxa"	"Meteorus rubens"
"82"	"Meteorus"	"ruficeps"	"(Nees, 1834)"	"http://dyntaxa.se/taxon/info/253182"	"Dyntaxa"	"Meteorus ruficeps"
"83"	"Meteorus"	"rufus"	"(DeGeer, 1773)"	"http://dyntaxa.se/taxon/info/253183"	"Dyntaxa"	"Meteorus rufus"
"84"	"Meteorus"	"sibyllae"	"Stigenberg, 2011"	"http://dyntaxa.se/taxon/info/6002587"	"Dyntaxa"	"Meteorus sibyllae"
"85"	"Meteorus"	"stenomastax"	"Stigenberg, 2011"	"http://dyntaxa.se/taxon/info/6002588"	"Dyntaxa"	"Meteorus stenomastax"
"86"	"Meteorus"	"stenostigma"	"Thomson, 1895"	"http://dyntaxa.se/taxon/info/253184"	"Dyntaxa"	"Meteorus stenostigma"
"87"	"Meteorus"	"tabidus"	"(Wesmael, 1835)"	"http://dyntaxa.se/taxon/info/253185"	"Dyntaxa"	"Meteorus tabidus"
"88"	"Meteorus"	"tenellus"	"Marshall, 1887"	"http://dyntaxa.se/taxon/info/6002589"	"Dyntaxa"	"Meteorus tenellus"
"89"	"Meteorus"	"versicolor"	"(Wesmael, 1835)"	"http://dyntaxa.se/taxon/info/253187"	"Dyntaxa"	"Meteorus versicolor"
"90"	"Meteorus"	"vexator"	"(Haliday, 1835)"	"http://dyntaxa.se/taxon/info/253188"	"Dyntaxa"	"Meteorus vexator"
"91"	"Myiocephalus"	"sp."	"Marshall, 1897"	"http://dyntaxa.se/taxon/info/1014351"	"Dyntaxa"	"Myiocephalus sp."
"92"	"Myiocephalus"	"boops"	"(Wesmael, 1835)"	"http://dyntaxa.se/taxon/info/253189"	"Dyntaxa"	"Myiocephalus boops"
"93"	"Neoneurus"	"sp."	"Haliday, 1838"	"http://dyntaxa.se/taxon/info/1014352"	"Dyntaxa"	"Neoneurus sp."
"94"	"Neoneurus"	"acutus"	"(Thomson, 1895)"	"http://dyntaxa.se/taxon/info/253190"	"Dyntaxa"	"Neoneurus acutus"
"95"	"Neoneurus"	"clypeatus"	"(Förster, 1862)"	"http://dyntaxa.se/taxon/info/253191"	"Dyntaxa"	"Neoneurus clypeatus"
"96"	"Perilitus"	"sp."	"Nees, 1818"	"http://dyntaxa.se/taxon/info/1014353"	"Dyntaxa"	"Perilitus sp."
"97"	"Perilitus"	"aethiopoides"	"(Loan, 1975)"	"http://dyntaxa.se/taxon/info/253192"	"Dyntaxa"	"Perilitus aethiopoides"
