"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"1"	"Megaselia"	"spino-angusta"	"n. sp."	1	11	418	"2004.vi.08"
"2"	"Megaselia"	"infra-pusilla"	"n. sp."	1	11	418	"2004.vi.08"
"3"	"Megaselia"	"pusilla"	"(Meigen, 1830)"	43	11	418	"2004.vi.08"
"4"	"Megaselia"	"angustivirga"	"n. sp."	1	11	418	"2004.vi.08"
"5"	"Megaselia"	"augere-pusilla"	"n. sp."	4	11	418	"2004.vi.08"
"6"	"Megaselia"	"setapyga"	"n. sp."	1	11	418	"2004.vi.08"
"7"	"Megaselia"	"pumila"	"(Meigen, 1830)"	1	11	418	"2004.vi.08"
"8"	"Megaselia"	"longiseta"	"(Wood, 1909)"	4	11	418	"2004.vi.08"
"9"	"Megaselia"	"sp."	"Rondani 1856"	33	11	418	"2004.vi.08"
"10"	"Megaselia"	"pygmaea"	"(Zetterstedt, 1848)"	35	11	418	"2004.vi.08"
"11"	"Megaselia"	"pseudo-involuta"	"n. sp."	116	11	418	"2004.vi.08"
"12"	"Megaselia"	"lucidi-lata"	"n. sp."	1	11	418	"2004.vi.08"
"13"	"Megaselia"	"producta"	"(Schmitz, 1921)"	1	11	418	"2004.vi.08"
"14"	"Conicera"	"sp."	"Meigen 1830"	84	11	418	"2004.vi.08"
"15"	"Diplonevra"	"sp."	"Lioy 1864"	90	11	418	"2004.vi.08"
"16"	"Phora"	"sp."	"Latreille 1796"	80	11	418	"2004.vi.08"
"17"	"Borophaga"	"sp."	"Enderlein 1924"	33	11	418	"2004.vi.08"
"18"	"Megaselia"	"emarginata"	"(Wood, 1908)"	2	11	418	"2004.vi.08"
"19"	"Megaselia"	"lucifrons"	"(Schmitz, 1918)"	3	11	418	"2004.vi.08"
"20"	"Megaselia"	"spinata"	"(Wood, 1910)"	1	11	418	"2004.vi.08"
"21"	"Megaselia"	"hirticrus"	"(Schmitz, 1918)"	1	11	418	"2004.vi.08"
"22"	"Megaselia"	"pleuralis"	"(Wood, 1909)"	3	11	418	"2004.vi.08"
"23"	"Megaselia"	"armata"	"(Wood, 1909)"	1	11	418	"2004.vi.08"
"24"	"Megaselia"	"gregaria"	"(Wood, 1910)"	5	11	418	"2004.vi.08"
"25"	"Megaselia"	"pectoralis"	"(Wood, 1910)"	1	11	418	"2004.vi.08"
"26"	"Megaselia"	"insons"	"(Lundbeck, 1920)"	15	11	418	"2004.vi.08"
"27"	"Megaselia"	"stigmatica"	"(Schmitz, 1920)"	1	11	418	"2004.vi.08"
"28"	"Megaselia"	"lucidi-lata"	"n. sp."	2	11	418	"2004.vi.08"
"29"	"Megaselia"	"stichata"	"(Lundbeck, 1920)"	1	11	418	"2004.vi.08"
"30"	"Megaselia"	"differens"	"Schmitz, 1948"	1	11	418	"2004.vi.08"
"31"	"Megaselia"	"tarsalis"	"(Wood, 1910)"	1	11	418	"2004.vi.08"
"32"	"Megaselia"	"discontinulonga"	"n. sp."	1	11	418	"2004.vi.08"
"33"	"Megaselia"	"quadriseta"	"(Schmitz, 1918)"	3	11	418	"2004.vi.08"
"34"	"Megaselia"	"manipuli-scutellaris"	"n. sp."	10	11	418	"2004.vi.08"
"35"	"Megaselia"	"spino-angusta"	"n. sp."	1	11	418	"2004.vi.08"
"36"	"Megaselia"	"seta-nigrescens"	"n. sp."	9	11	418	"2004.vi.08"
"37"	"Megaselia"	"giraudii"	"(Egger, 1862)"	5	11	418	"2004.vi.08"
"38"	"Megaselia"	"differens"	"Schmitz, 1948"	9	11	418	"2004.vi.08"
"39"	"Megaselia"	"dexteri-maura"	"n. sp."	14	11	418	"2004.vi.08"
"40"	"Megaselia"	"cilipleuralis"	"n. sp."	1	11	418	"2004.vi.08"
"41"	"Megaselia"	"quadriseta"	"(Schmitz, 1918)"	2	11	418	"2004.vi.08"
"42"	"Megaselia"	"consetigera"	"(Schmitz, 1925)"	2	11	418	"2004.vi.08"
"43"	"Megaselia"	"fuscovariana"	"Schmitz, 1933"	2	11	418	"2004.vi.08"
"44"	"Megaselia"	"postero-variana"	"n. sp."	5	11	418	"2004.vi.08"
"45"	"Megaselia"	"lucifrons"	"(Schmitz, 1918)"	3	11	418	"2004.vi.08"
"46"	"Megaselia"	"variana"	"Schmitz, 1926"	4	11	418	"2004.vi.08"
"47"	"Megaselia"	"unguisa-sylvatica"	"n. sp."	1	11	418	"2004.vi.08"
"48"	"Megaselia"	"impolluta"	"n. sp."	2	11	418	"2004.vi.08"
"49"	"Megaselia"	"semigiraudii"	"n. sp."	4	11	418	"2004.vi.08"
"50"	"Megaselia"	"seta-nigrescens"	"n. sp."	4	11	418	"2004.vi.08"
"51"	"Megaselia"	"minuta-pygmaea"	"n. sp."	7	11	418	"2004.vi.08"
"52"	"Megaselia"	"extendo-pygmaea"	"n. sp."	1	11	418	"2004.vi.08"
"53"	"Megaselia"	"spinicincta"	"(Wood, 1910)"	29	11	418	"2004.vi.08"
