"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"42"	"Alloxysta"	"aperta"	"(Hartig, 1841)"	"urn:lsid:dyntaxa.se:Taxon:252459"	NA	NA	"Alloxysta aperta"
"43"	"Alloxysta"	"brachyptera"	"(Hartig, 1840)"	"urn:lsid:dyntaxa.se:Taxon:252460"	NA	NA	"Alloxysta brachyptera"
"44"	"Alloxysta"	"brevitarsis"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:252462"	NA	NA	"Alloxysta brevitarsis"
"45"	"Alloxysta"	"citripes"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:252463"	NA	NA	"Alloxysta citripes"
"46"	"Alloxysta"	"fracticornis"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:252467"	NA	NA	"Alloxysta fracticornis"
"47"	"Alloxysta"	"fuscicornis"	"(Hartig, 1841)"	"urn:lsid:dyntaxa.se:Taxon:252469"	NA	NA	"Alloxysta fuscicornis"
"48"	"Alloxysta"	"fuscipes"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:252470"	NA	NA	"Alloxysta fuscipes"
"49"	"Alloxysta"	"fuscitarsis"	"Kieffer, 1904"	"urn:lsid:dyntaxa.se:Taxon:252471"	NA	NA	"Alloxysta fuscitarsis"
"50"	"Alloxysta"	"halterata"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:252472"	NA	NA	"Alloxysta halterata"
"51"	"Alloxysta"	"leunisii"	"(Hartig, 1841)"	"urn:lsid:dyntaxa.se:Taxon:252473"	NA	NA	"Alloxysta leunisii"
"52"	"Alloxysta"	"nigrita"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:252478"	NA	NA	"Alloxysta nigrita"
"53"	"Alloxysta"	"obscurata"	"(Hartig, 1840)"	"urn:lsid:dyntaxa.se:Taxon:252479"	NA	NA	"Alloxysta obscurata"
"54"	"Alloxysta"	"pallidicornis"	"(Curtis, 1838)"	"urn:lsid:dyntaxa.se:Taxon:252480"	NA	NA	"Alloxysta pallidicornis"
"55"	"Alloxysta"	"pedestris"	"(Curtis, 1838)"	"urn:lsid:dyntaxa.se:Taxon:252481"	NA	NA	"Alloxysta pedestris"
"56"	"Alloxysta"	"pleuralis"	"(Cameron, 1879)"	"urn:lsid:dyntaxa.se:Taxon:252483"	NA	NA	"Alloxysta pleuralis"
"57"	"Alloxysta"	"pusilla"	"(Kieffer, 1902)"	"urn:lsid:dyntaxa.se:Taxon:252484"	NA	NA	"Alloxysta pusilla"
"58"	"Alloxysta"	"ramulifera"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:252485"	NA	NA	"Alloxysta ramulifera"
"59"	"Alloxysta"	"testaceipes"	"(Kieffer, 1902)"	"urn:lsid:dyntaxa.se:Taxon:252486"	NA	NA	"Alloxysta testaceipes"
"60"	"Alloxysta"	"victrix"	"(Westwood, 1833)"	"urn:lsid:dyntaxa.se:Taxon:252488"	NA	NA	"Alloxysta victrix"
"61"	"Alloxysta"	"xanthopa"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:252489"	NA	NA	"Alloxysta xanthopa"
"62"	"Alloxysta"	"arcuata"	"(Kieffer, 1902)"	"urn:lsid:dyntaxa.se:Taxon:6003867"	NA	NA	"Alloxysta arcuata"
"63"	"Alloxysta"	"brevis"	"(Thomson, 1862)"	"urn:lsid:dyntaxa.se:Taxon:6003868"	NA	NA	"Alloxysta brevis"
"64"	"Alloxysta"	"basimacula"	"(Cameron, 1886)"	"urn:lsid:dyntaxa.se:Taxon:6003874"	NA	NA	"Alloxysta basimacula"
"65"	"Alloxysta"	"macrophadna"	"(Hartig, 1841)"	"urn:lsid:dyntaxa.se:Taxon:6003875"	NA	NA	"Alloxysta macrophadna"
"66"	"Alloxysta"	"castanea"	"(Hartig, 1841)"	"urn:lsid:dyntaxa.se:Taxon:6003876"	NA	NA	"Alloxysta castanea"
"67"	"Alloxysta"	"fulviceps"	"(Curtis, 1838)"	"urn:lsid:dyntaxa.se:Taxon:6003877"	NA	NA	"Alloxysta fulviceps"
