"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"41"	"Pleurota"	"bicostella"	"(Clerck, 1759)"	"http://dyntaxa.se/taxon/info/214413"	"Dyntaxa"	NA	"Pleurota bicostella"
"42"	"Aplota"	"sp."	"Stephens, 1834"	"http://dyntaxa.se/taxon/info/1003807"	"Dyntaxa"	NA	"Aplota sp."
"43"	"Aplota"	"palpella"	"(Haworth, 1828)"	"http://dyntaxa.se/taxon/info/102380"	"Dyntaxa"	NA	"Aplota palpella"
"44"	"Orophia"	"sp."	"Hübner, 1825"	"http://dyntaxa.se/taxon/info/1003808"	"Dyntaxa"	NA	"Orophia sp."
"45"	"Orophia"	"ferrugella"	"(Denis & Schiffermüller, 1775)"	"http://dyntaxa.se/taxon/info/214415"	"Dyntaxa"	NA	"Orophia ferrugella"
"46"	"Telechrysis"	"sp."	"Toll, 1956"	"http://dyntaxa.se/taxon/info/1003809"	"Dyntaxa"	NA	"Telechrysis sp."
"47"	"Telechrysis"	"tripuncta"	"(Haworth, 1828)"	"http://dyntaxa.se/taxon/info/214416"	"Dyntaxa"	NA	"Telechrysis tripuncta"
"48"	"Hypercallia"	"sp."	"Stephens, 1829"	"http://dyntaxa.se/taxon/info/1003810"	"Dyntaxa"	NA	"Hypercallia sp."
"49"	"Hypercallia"	"citrinalis"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/102453"	"Dyntaxa"	NA	"Hypercallia citrinalis"
"50"	"Anchinia"	"sp."	"Hübner, 1825"	"http://dyntaxa.se/taxon/info/1003811"	"Dyntaxa"	NA	"Anchinia sp."
"51"	"Anchinia"	"cristalis"	"(Scopoli, 1763)"	"http://dyntaxa.se/taxon/info/100277"	"Dyntaxa"	NA	"Anchinia cristalis"
"52"	"Anchinia"	"daphnella"	"(Denis & Schiffermüller, 1775)"	"http://dyntaxa.se/taxon/info/214418"	"Dyntaxa"	NA	"Anchinia daphnella"
"53"	"Stathmopoda"	"sp."	"Herrich-Schäffer, 1853"	"http://dyntaxa.se/taxon/info/1003812"	"Dyntaxa"	NA	"Stathmopoda sp."
"54"	"Stathmopoda"	"pedella"	"(Linnaeus, 1761)"	"http://dyntaxa.se/taxon/info/214420"	"Dyntaxa"	NA	"Stathmopoda pedella"
"55"	"Eratophyes"	"sp."	"Diakonoff, 1975"	"http://dyntaxa.se/taxon/info/1009414"	"Dyntaxa"	NA	"Eratophyes sp."
"56"	"Eratophyes"	"amasiella"	"(Herrich-Schäffer, 1854)"	"http://dyntaxa.se/taxon/info/233647"	"Dyntaxa"	NA	"Eratophyes amasiella"
"57"	"Esperia"	"sp."	"Hübner, 1825"	"http://dyntaxa.se/taxon/info/1013957"	"Dyntaxa"	NA	"Esperia sp."
"58"	"Esperia"	"sulphurella"	"(Fabricius, 1775)"	"http://dyntaxa.se/taxon/info/251246"	"Dyntaxa"	NA	"Esperia sulphurella"
"59"	"Cosmiotes"	"sp."	"Clemens, 1860"	"http://dyntaxa.se/taxon/info/1003778"	"Dyntaxa"	NA	"Cosmiotes sp."
"60"	"Cosmiotes"	"stabilella"	"(Stainton, 1858)"	"http://dyntaxa.se/taxon/info/102410"	"Dyntaxa"	NA	"Cosmiotes stabilella"
"61"	"Cosmiotes"	"freyerella"	"(Hübner, 1825)"	"http://dyntaxa.se/taxon/info/214298"	"Dyntaxa"	NA	"Cosmiotes freyerella"
"62"	"Cosmiotes"	"exactella"	"(Herrich-Schäffer, 1855)"	"http://dyntaxa.se/taxon/info/214299"	"Dyntaxa"	NA	"Cosmiotes exactella"
"63"	"Cosmiotes"	"consortella"	"(Stainton, 1851)"	"http://dyntaxa.se/taxon/info/214301"	"Dyntaxa"	NA	"Cosmiotes consortella"
"64"	"Mendesia"	"sp."	"Joannis, 1902"	"http://dyntaxa.se/taxon/info/1003779"	"Dyntaxa"	NA	"Mendesia sp."
"65"	"Mendesia"	"farinella"	"(Thunberg, 1794)"	"http://dyntaxa.se/taxon/info/214302"	"Dyntaxa"	NA	"Mendesia farinella"
"66"	"Perittia"	"sp."	"Stainton, 1854"	"http://dyntaxa.se/taxon/info/1003780"	"Dyntaxa"	NA	"Perittia sp."
"67"	"Perittia"	"obscurepunctella"	"(Stainton, 1848)"	"http://dyntaxa.se/taxon/info/102476"	"Dyntaxa"	NA	"Perittia obscurepunctella"
"68"	"Perittia"	"herrichiella"	"(Herrich-Schäffer, 1855)"	"http://dyntaxa.se/taxon/info/214304"	"Dyntaxa"	NA	"Perittia herrichiella"
"69"	"Stephensia"	"sp."	"Stainton, 1858"	"http://dyntaxa.se/taxon/info/1003781"	"Dyntaxa"	NA	"Stephensia sp."
"70"	"Stephensia"	"brunnichella"	"(Linnaeus, 1767)"	"http://dyntaxa.se/taxon/info/102504"	"Dyntaxa"	NA	"Stephensia brunnichella"
"71"	"Elachista"	"sp."	"Treitschke, 1833"	"http://dyntaxa.se/taxon/info/1003782"	"Dyntaxa"	NA	"Elachista sp."
"72"	"Elachista"	"gangabella"	"Zeller, 1850"	"http://dyntaxa.se/taxon/info/100887"	"Dyntaxa"	NA	"Elachista gangabella"
"73"	"Elachista"	"tetragonella"	"(Herrich-Schäffer, 1855)"	"http://dyntaxa.se/taxon/info/100888"	"Dyntaxa"	NA	"Elachista tetragonella"
"74"	"Elachista"	"cinereopunctella"	"(Haworth, 1828)"	"http://dyntaxa.se/taxon/info/102385"	"Dyntaxa"	NA	"Elachista cinereopunctella"
"75"	"Elachista"	"biatomella"	"(Stainton, 1848)"	"http://dyntaxa.se/taxon/info/102424"	"Dyntaxa"	NA	"Elachista biatomella"
"76"	"Elachista"	"chrysodesmella"	"Zeller, 1850"	"http://dyntaxa.se/taxon/info/102425"	"Dyntaxa"	NA	"Elachista chrysodesmella"
"77"	"Elachista"	"cingillella"	"(Herrich-Schäffer, 1855)"	"http://dyntaxa.se/taxon/info/102426"	"Dyntaxa"	NA	"Elachista cingillella"
"78"	"Elachista"	"megerlella"	"(Hübner, 1810)"	"http://dyntaxa.se/taxon/info/102427"	"Dyntaxa"	NA	"Elachista megerlella"
"79"	"Elachista"	"pollinariella"	"Zeller, 1839"	"http://dyntaxa.se/taxon/info/102428"	"Dyntaxa"	NA	"Elachista pollinariella"
"80"	"Elachista"	"quadripunctella"	"(Hübner, 1825)"	"http://dyntaxa.se/taxon/info/102429"	"Dyntaxa"	NA	"Elachista quadripunctella"
"81"	"Elachista"	"unifasciella"	"(Haworth, 1828)"	"http://dyntaxa.se/taxon/info/102430"	"Dyntaxa"	NA	"Elachista unifasciella"
"82"	"Elachista"	"tengstromi"	"Kaila et al., 2001"	"http://dyntaxa.se/taxon/info/214306"	"Dyntaxa"	NA	"Elachista tengstromi"
"83"	"Elachista"	"geminatella"	"(Herrich-Schäffer, 1855)"	"http://dyntaxa.se/taxon/info/214307"	"Dyntaxa"	NA	"Elachista geminatella"
"84"	"Elachista"	"gleichenella"	"(Fabricius, 1781)"	"http://dyntaxa.se/taxon/info/214308"	"Dyntaxa"	NA	"Elachista gleichenella"
"85"	"Elachista"	"trapeziella"	"Stainton, 1849"	"http://dyntaxa.se/taxon/info/214312"	"Dyntaxa"	NA	"Elachista trapeziella"
"86"	"Elachista"	"kebneella"	"(Traugott-Olsen, 1977)"	"http://dyntaxa.se/taxon/info/214314"	"Dyntaxa"	NA	"Elachista kebneella"
"87"	"Elachista"	"serricornis"	"Stainton, 1854"	"http://dyntaxa.se/taxon/info/214315"	"Dyntaxa"	NA	"Elachista serricornis"
"88"	"Elachista"	"juliensis"	"Frey, 1870"	"http://dyntaxa.se/taxon/info/214316"	"Dyntaxa"	NA	"Elachista juliensis"
"89"	"Elachista"	"scirpi"	"Stainton, 1887"	"http://dyntaxa.se/taxon/info/214317"	"Dyntaxa"	NA	"Elachista scirpi"
"90"	"Elachista"	"eleochariella"	"Stainton, 1851"	"http://dyntaxa.se/taxon/info/214318"	"Dyntaxa"	NA	"Elachista eleochariella"
"91"	"Elachista"	"utonella"	"Frey, 1856"	"http://dyntaxa.se/taxon/info/214319"	"Dyntaxa"	NA	"Elachista utonella"
"92"	"Elachista"	"albidella"	"Nylander, 1848"	"http://dyntaxa.se/taxon/info/214320"	"Dyntaxa"	NA	"Elachista albidella"
"93"	"Elachista"	"abiskoella"	"Bengtsson, 1977"	"http://dyntaxa.se/taxon/info/214321"	"Dyntaxa"	NA	"Elachista abiskoella"
"94"	"Elachista"	"poae"	"Stainton, 1855"	"http://dyntaxa.se/taxon/info/214322"	"Dyntaxa"	NA	"Elachista poae"
"95"	"Elachista"	"atricomella"	"Stainton, 1849"	"http://dyntaxa.se/taxon/info/214323"	"Dyntaxa"	NA	"Elachista atricomella"
"96"	"Elachista"	"kilmunella"	"Stainton, 1849"	"http://dyntaxa.se/taxon/info/214324"	"Dyntaxa"	NA	"Elachista kilmunella"
"97"	"Elachista"	"excelsicola"	"Braun, 1948"	"http://dyntaxa.se/taxon/info/214325"	"Dyntaxa"	NA	"Elachista excelsicola"
"98"	"Elachista"	"alpinella"	"Stainton, 1854"	"http://dyntaxa.se/taxon/info/214326"	"Dyntaxa"	NA	"Elachista alpinella"
"99"	"Elachista"	"diederichsiella"	"Hering, 1889"	"http://dyntaxa.se/taxon/info/214327"	"Dyntaxa"	NA	"Elachista diederichsiella"
"100"	"Elachista"	"compsa"	"Traugott-Olsen, 1974"	"http://dyntaxa.se/taxon/info/214328"	"Dyntaxa"	NA	"Elachista compsa"
"101"	"Elachista"	"elegans"	"Frey, 1859"	"http://dyntaxa.se/taxon/info/214329"	"Dyntaxa"	NA	"Elachista elegans"
"102"	"Elachista"	"luticomella"	"Zeller, 1839"	"http://dyntaxa.se/taxon/info/214330"	"Dyntaxa"	NA	"Elachista luticomella"
"103"	"Elachista"	"albifrontella"	"(Hübner, 1817)"	"http://dyntaxa.se/taxon/info/214331"	"Dyntaxa"	NA	"Elachista albifrontella"
"104"	"Elachista"	"bifasciella"	"Treitschke, 1833"	"http://dyntaxa.se/taxon/info/214332"	"Dyntaxa"	NA	"Elachista bifasciella"
"105"	"Elachista"	"nobilella"	"Zeller, 1839"	"http://dyntaxa.se/taxon/info/214333"	"Dyntaxa"	NA	"Elachista nobilella"
"106"	"Elachista"	"apicipunctella"	"Stainton, 1849"	"http://dyntaxa.se/taxon/info/214334"	"Dyntaxa"	NA	"Elachista apicipunctella"
"107"	"Elachista"	"subnigrella"	"Douglas, 1853"	"http://dyntaxa.se/taxon/info/214335"	"Dyntaxa"	NA	"Elachista subnigrella"
"108"	"Elachista"	"orstadii"	"Palm, 1943"	"http://dyntaxa.se/taxon/info/214336"	"Dyntaxa"	NA	"Elachista orstadii"
"109"	"Elachista"	"zernyi"	"Hartig, 1941"	"http://dyntaxa.se/taxon/info/214337"	"Dyntaxa"	NA	"Elachista zernyi"
"110"	"Elachista"	"eskoi"	"Kyrki & Karvonen, 1984"	"http://dyntaxa.se/taxon/info/214338"	"Dyntaxa"	NA	"Elachista eskoi"
"111"	"Elachista"	"krogeri"	"Svensson, 1976"	"http://dyntaxa.se/taxon/info/214339"	"Dyntaxa"	NA	"Elachista krogeri"
"112"	"Elachista"	"nielswolffi"	"Svensson, 1976"	"http://dyntaxa.se/taxon/info/214340"	"Dyntaxa"	NA	"Elachista nielswolffi"
"113"	"Elachista"	"pomerana"	"Frey, 1870"	"http://dyntaxa.se/taxon/info/214341"	"Dyntaxa"	NA	"Elachista pomerana"
"114"	"Elachista"	"humilis"	"Zeller, 1850"	"http://dyntaxa.se/taxon/info/214342"	"Dyntaxa"	NA	"Elachista humilis"
"115"	"Elachista"	"vonschantzi"	"Svensson, 1976"	"http://dyntaxa.se/taxon/info/214343"	"Dyntaxa"	NA	"Elachista vonschantzi"
"116"	"Elachista"	"canapennella"	"(Hübner, 1813)"	"http://dyntaxa.se/taxon/info/214344"	"Dyntaxa"	NA	"Elachista canapennella"
"117"	"Elachista"	"anserinella"	"Zeller, 1839"	"http://dyntaxa.se/taxon/info/214345"	"Dyntaxa"	NA	"Elachista anserinella"
"118"	"Elachista"	"maculicerusella"	"Bruand, 1859"	"http://dyntaxa.se/taxon/info/214346"	"Dyntaxa"	NA	"Elachista maculicerusella"
"119"	"Elachista"	"argentella"	"(Clerck, 1759)"	"http://dyntaxa.se/taxon/info/214347"	"Dyntaxa"	NA	"Elachista argentella"
"120"	"Elachista"	"triatomea"	"(Haworth, 1828)"	"http://dyntaxa.se/taxon/info/214349"	"Dyntaxa"	NA	"Elachista triatomea"
"121"	"Elachista"	"subocellea"	"(Stephens, 1834)"	"http://dyntaxa.se/taxon/info/214350"	"Dyntaxa"	NA	"Elachista subocellea"
"122"	"Elachista"	"festucicolella"	"Zeller, 1853"	"http://dyntaxa.se/taxon/info/214351"	"Dyntaxa"	NA	"Elachista festucicolella"
"123"	"Elachista"	"dispilella"	"Zeller, 1839"	"http://dyntaxa.se/taxon/info/214352"	"Dyntaxa"	NA	"Elachista dispilella"
"124"	"Elachista"	"elsaella"	"Traugott-Olsen, 1988"	"http://dyntaxa.se/taxon/info/214353"	"Dyntaxa"	NA	"Elachista elsaella"
"125"	"Elachista"	"subalbidella"	"Schläger, 1847"	"http://dyntaxa.se/taxon/info/214359"	"Dyntaxa"	NA	"Elachista subalbidella"
"126"	"Elachista"	"adscitella"	"Stainton, 1851"	"http://dyntaxa.se/taxon/info/214360"	"Dyntaxa"	NA	"Elachista adscitella"
"127"	"Elachista"	"bisulcella"	"(Duponchel, 1843)"	"http://dyntaxa.se/taxon/info/214361"	"Dyntaxa"	NA	"Elachista bisulcella"
"128"	"Elachista"	"pullicomella"	"Zeller, 1839"	"http://dyntaxa.se/taxon/info/214362"	"Dyntaxa"	NA	"Elachista pullicomella"
"129"	"Elachista"	"bedellella"	"(Sircom, 1848)"	"http://dyntaxa.se/taxon/info/214363"	"Dyntaxa"	NA	"Elachista bedellella"
"130"	"Elachista"	"bruuni"	"Traugott-Olsen, 1990"	"http://dyntaxa.se/taxon/info/250428"	"Dyntaxa"	NA	"Elachista bruuni"
"131"	"Chrysoclista"	"sp."	"Stainton, 1854"	"http://dyntaxa.se/taxon/info/1003783"	"Dyntaxa"	NA	"Chrysoclista sp."
"132"	"Chrysoclista"	"splendida"	"Karsholt, 1997"	"http://dyntaxa.se/taxon/info/100634"	"Dyntaxa"	NA	"Chrysoclista splendida"
"133"	"Chrysoclista"	"linneella"	"(Clerck, 1759)"	"http://dyntaxa.se/taxon/info/100635"	"Dyntaxa"	NA	"Chrysoclista linneella"
"134"	"Chrysoclista"	"lathamella"	"(Fletcher, 1936)"	"http://dyntaxa.se/taxon/info/100636"	"Dyntaxa"	NA	"Chrysoclista lathamella"
"135"	"Heinemannia"	"sp."	"Wocke, 1876"	"http://dyntaxa.se/taxon/info/1003784"	"Dyntaxa"	NA	"Heinemannia sp."
"136"	"Heinemannia"	"festivella"	"(Denis & Schiffermüller, 1775)"	"http://dyntaxa.se/taxon/info/101055"	"Dyntaxa"	NA	"Heinemannia festivella"
"137"	"Heinemannia"	"laspeyrella"	"(Hübner, 1796)"	"http://dyntaxa.se/taxon/info/102450"	"Dyntaxa"	NA	"Heinemannia laspeyrella"
"138"	"Blastodacna"	"sp."	"Wocke, 1876"	"http://dyntaxa.se/taxon/info/1003785"	"Dyntaxa"	NA	"Blastodacna sp."
