"Genus"	"Species"	"Author"	"GUID"	"Notes..errors..synonyms..undescribed.etc."	"Source"	"Taxon.name..computed."
"39"	"Chalcosyrphus"	"jacobsoni"	"(Stackelberg, 1921)"	NA	"urn:lsid:dyntaxa.se:Taxon:102529"	"Dyntaxa"	"Chalcosyrphus jacobsoni"
"40"	"Chalcosyrphus"	"nigripes"	"(Zetterstedt, 1838)"	NA	"urn:lsid:dyntaxa.se:Taxon:102530"	"Dyntaxa"	"Chalcosyrphus nigripes"
"41"	"Chalcosyrphus"	"piger"	"(Fabricius, 1794)"	NA	"urn:lsid:dyntaxa.se:Taxon:102531"	"Dyntaxa"	"Chalcosyrphus piger"
"42"	"Chalcosyrphus"	"nemorum"	"(Fabricius, 1805)"	NA	"urn:lsid:dyntaxa.se:Taxon:200462"	"Dyntaxa"	"Chalcosyrphus nemorum"
"43"	"Chalcosyrphus"	"valgus"	"(Gmelin, 1790)"	NA	"urn:lsid:dyntaxa.se:Taxon:200465"	"Dyntaxa"	"Chalcosyrphus valgus"
"44"	"Chalcosyrphus"	"rufipes"	"(Loew, 1873)"	NA	"urn:lsid:dyntaxa.se:Taxon:261037"	"Dyntaxa"	"Chalcosyrphus rufipes"
"45"	"Cheilosia"	"sp."	"Meigen, 1822"	NA	"urn:lsid:dyntaxa.se:Taxon:1000340"	"Dyntaxa"	"Cheilosia sp."
"46"	"Cheilosia"	"albipila"	"Meigen, 1838"	NA	"urn:lsid:dyntaxa.se:Taxon:200470"	"Dyntaxa"	"Cheilosia albipila"
"47"	"Cheilosia"	"albitarsis"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200471"	"Dyntaxa"	"Cheilosia albitarsis"
"48"	"Cheilosia"	"alpina"	"(Zetterstedt, 1838)"	NA	"urn:lsid:dyntaxa.se:Taxon:200472"	"Dyntaxa"	"Cheilosia alpina"
"49"	"Cheilosia"	"angustigenis"	"(Becker, 1894)"	NA	"urn:lsid:dyntaxa.se:Taxon:200473"	"Dyntaxa"	"Cheilosia angustigenis"
"50"	"Cheilosia"	"bergenstammi"	"(Becker, 1894)"	NA	"urn:lsid:dyntaxa.se:Taxon:200476"	"Dyntaxa"	"Cheilosia bergenstammi"
"51"	"Cheilosia"	"canicularis"	"(Panzer, 1801)"	NA	"urn:lsid:dyntaxa.se:Taxon:200477"	"Dyntaxa"	"Cheilosia canicularis"
"52"	"Cheilosia"	"carbonaria"	"Egger, 1860"	NA	"urn:lsid:dyntaxa.se:Taxon:200478"	"Dyntaxa"	"Cheilosia carbonaria"
"53"	"Cheilosia"	"chlorus"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200479"	"Dyntaxa"	"Cheilosia chlorus"
"54"	"Cheilosia"	"chrysocoma"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200480"	"Dyntaxa"	"Cheilosia chrysocoma"
"55"	"Cheilosia"	"cynocephala"	"Loew, 1840"	NA	"urn:lsid:dyntaxa.se:Taxon:200481"	"Dyntaxa"	"Cheilosia cynocephala"
"56"	"Cheilosia"	"flavipes"	"(Panzer, 1798)"	NA	"urn:lsid:dyntaxa.se:Taxon:200483"	"Dyntaxa"	"Cheilosia flavipes"
"57"	"Cheilosia"	"fraterna"	"(Meigen, 1830)"	NA	"urn:lsid:dyntaxa.se:Taxon:200484"	"Dyntaxa"	"Cheilosia fraterna"
"58"	"Cheilosia"	"frontalis"	"Loew, 1857"	NA	"urn:lsid:dyntaxa.se:Taxon:200485"	"Dyntaxa"	"Cheilosia frontalis"
"59"	"Cheilosia"	"gigantea"	"(Zetterstedt, 1838)"	NA	"urn:lsid:dyntaxa.se:Taxon:200486"	"Dyntaxa"	"Cheilosia gigantea"
"60"	"Cheilosia"	"grossa"	"(Fallén, 1817)"	NA	"urn:lsid:dyntaxa.se:Taxon:200487"	"Dyntaxa"	"Cheilosia grossa"
"61"	"Cheilosia"	"himantopus"	"(Panzer, 1798)"	NA	"urn:lsid:dyntaxa.se:Taxon:200488"	"Dyntaxa"	"Cheilosia himantopus"
"62"	"Cheilosia"	"illustrata"	"(Harris, 1780)"	NA	"urn:lsid:dyntaxa.se:Taxon:200489"	"Dyntaxa"	"Cheilosia illustrata"
"63"	"Cheilosia"	"impressa"	"Loew, 1840"	NA	"urn:lsid:dyntaxa.se:Taxon:200490"	"Dyntaxa"	"Cheilosia impressa"
"64"	"Cheilosia"	"ingerae"	"Nielsen & Claussen, 2001"	NA	"urn:lsid:dyntaxa.se:Taxon:200491"	"Dyntaxa"	"Cheilosia ingerae"
"65"	"Cheilosia"	"lasiopa"	"(Kowarz, 1885)"	NA	"urn:lsid:dyntaxa.se:Taxon:200492"	"Dyntaxa"	"Cheilosia lasiopa"
"66"	"Cheilosia"	"laticornis"	"Rondani, 1857"	NA	"urn:lsid:dyntaxa.se:Taxon:200493"	"Dyntaxa"	"Cheilosia laticornis"
"67"	"Cheilosia"	"latifrons"	"(Zetterstedt, 1843)"	NA	"urn:lsid:dyntaxa.se:Taxon:200494"	"Dyntaxa"	"Cheilosia latifrons"
"68"	"Cheilosia"	"longula"	"(Zetterstedt, 1838)"	NA	"urn:lsid:dyntaxa.se:Taxon:200495"	"Dyntaxa"	"Cheilosia longula"
"69"	"Cheilosia"	"melanopa"	"(Zetterstedt, 1843)"	NA	"urn:lsid:dyntaxa.se:Taxon:200496"	"Dyntaxa"	"Cheilosia melanopa"
"70"	"Cheilosia"	"morio"	"(Zetterstedt, 1838)"	NA	"urn:lsid:dyntaxa.se:Taxon:200497"	"Dyntaxa"	"Cheilosia morio"
"71"	"Cheilosia"	"mutabilis"	"(Fallén, 1817)"	NA	"urn:lsid:dyntaxa.se:Taxon:200498"	"Dyntaxa"	"Cheilosia mutabilis"
"72"	"Cheilosia"	"nebulosa"	"(Verrall, 1871)"	NA	"urn:lsid:dyntaxa.se:Taxon:200499"	"Dyntaxa"	"Cheilosia nebulosa"
"73"	"Cheilosia"	"nigripes"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200500"	"Dyntaxa"	"Cheilosia nigripes"
"74"	"Cheilosia"	"pagana"	"(Meigen, 1822)"	NA	"urn:lsid:dyntaxa.se:Taxon:200501"	"Dyntaxa"	"Cheilosia pagana"
"75"	"Cheilosia"	"flavissima"	"Becker, 1894"	NA	"urn:lsid:dyntaxa.se:Taxon:200502"	"Dyntaxa"	"Cheilosia flavissima"
"76"	"Cheilosia"	"proxima"	"(Zetterstedt, 1843)"	NA	"urn:lsid:dyntaxa.se:Taxon:200503"	"Dyntaxa"	"Cheilosia proxima"
"77"	"Cheilosia"	"psilophthalma"	"(Becker, 1894)"	NA	"urn:lsid:dyntaxa.se:Taxon:200504"	"Dyntaxa"	"Cheilosia psilophthalma"
"78"	"Cheilosia"	"pubera"	"(Zetterstedt, 1838)"	NA	"urn:lsid:dyntaxa.se:Taxon:200505"	"Dyntaxa"	"Cheilosia pubera"
"79"	"Cheilosia"	"rufimana"	"(Becker, 1894)"	NA	"urn:lsid:dyntaxa.se:Taxon:200507"	"Dyntaxa"	"Cheilosia rufimana"
"80"	"Cheilosia"	"sahlbergi"	"(Becker, 1894)"	NA	"urn:lsid:dyntaxa.se:Taxon:200508"	"Dyntaxa"	"Cheilosia sahlbergi"
"81"	"Cheilosia"	"scutellata"	"(Fallén, 1817)"	NA	"urn:lsid:dyntaxa.se:Taxon:200509"	"Dyntaxa"	"Cheilosia scutellata"
"82"	"Cheilosia"	"semifasciata"	"(Becker, 1894)"	NA	"urn:lsid:dyntaxa.se:Taxon:200510"	"Dyntaxa"	"Cheilosia semifasciata"
"83"	"Cheilosia"	"sootryeni"	"Nielsen, 1970"	NA	"urn:lsid:dyntaxa.se:Taxon:200511"	"Dyntaxa"	"Cheilosia sootryeni"
"84"	"Cheilosia"	"soror"	"(Zetterstedt, 1843)"	NA	"urn:lsid:dyntaxa.se:Taxon:200512"	"Dyntaxa"	"Cheilosia soror"
