"Genus"	"Species"	"Author"	"GUID"	"Taxon.name..computed."
"1"	"Diadocidia"	"sp."	"Ruthe, 1831"	"http://dyntaxa.se/taxon/info/1013853"	"Diadocidia sp."
"2"	"Diadocidia"	"trispinosa"	"Polevoi, 1996"	"http://dyntaxa.se/taxon/info/251914"	"Diadocidia trispinosa"
"3"	"Diadocidia"	"valida"	"Mik, 1874"	"http://dyntaxa.se/taxon/info/251915"	"Diadocidia valida"
"4"	"Diadocidia"	"ferruginosa"	"(Meigen, 1830)"	"http://dyntaxa.se/taxon/info/251916"	"Diadocidia ferruginosa"
"5"	"Diadocidia"	"spinosula"	"Tollet, 1948"	"http://dyntaxa.se/taxon/info/251917"	"Diadocidia spinosula"
"6"	"Diadocidia"	"fissa"	"Zaitzev, 1994"	"http://dyntaxa.se/taxon/info/267182"	"Diadocidia fissa"
